"","Response.ID","Comments"
"70","1VC49BvM",""
"71","gcEB1OD2",""
"72","Iff5Kt9e","Thank you for considering this. The pool in town is not suitable for children."
"73","1MDTyVyF",""
"74","iEDToYxY",""
"75","YOCYFiT0",""
"76","8SCK7A4y","I would oike to see the YMCA run the Aquatics Orograms."
"77","1XCiOYNZ","0.2% isn't small. That would be at least an $800 increase to the mortgage taxes for a home assessed at 400k. We want a pool, but this may need some more creative funding."
"78","51CKf88s","We need a new facility and should not scrimp on one now just because it is expensive. It will get more expensive & a bare bones facility will not provide enough options to have a reasonable ROI."
"79","mCCiEOZG","I will vote against a sales tax to fund this facility. I will lead a community effort to stop any increase in sales taxes in Jefferson County. Sales taxes hurt the poor. Don’t hurt the poor. I will support a property tax increase to fund this facility."
"80","ufCK8D5a","PLEASE STREAMLINE THE PROCESS, It's good for fitness, physical as well as mental and social."
"81","6zEBBJ16",""
"82","K9Ci531w",""
"83","otDTsBSb",""
"84","dEEBXT0w",""
"85","l6k35SAJ",""
"86","jCCi3Nq4",""
"87","nDEBDe9W",""
"88","rjB69yFx",""
"89","d4DTntZh","I am very excited about the possibility that the new center will be located near the primary school and library in Port Hadlock. We take care of our toddler granddaughter 2 days or more a week. I would love to have a place to take her for swim lessons and recreation and I would certainly use a fitness room and the pool 4 or more days a week. Right now we have to drive 5 miles to work out at Evergreen Fitness. I love the idea of a community gathering place/pool/fitness center in Port Hadlock, which IS the designated Urban Growth Area of Jefferson County."
"90","b2C4tRXp",""
"91","NbkkXST9",""
"92","XoB6nRjL","Please build the pool before I’m too old to use it."
"93","ZKEBMlcn",""
"94","GtEBLRAF","We think the proposed location is a great choice for the community! While we would not be primary users we support a basic pool facility for the counties youth to use. Keep it simple. Pay attention to who the potential users will be and don't over build by getting caught up in a ""Keeping up with Seattle"" syndrome. This is a rural community, not an urban one."
"95","IZkLJE18","This small community should not expend money it does not have. Our budget should include things that are obviously necessary to our area. This is luxury spending."
"96","FYC4sgaC","I wholeheartedly support the new choice of location, I did NOT support the plan to build the aquatic center on the pt golf course. My main desire for a pool is for others, mainly children who need to learn to swim safely due to our maritime environment"
"97","yqk4cneM","Fix the existing infrastructure.   Update equipment and facilities."
"98","StCKDZa5","The programs mentioned, such as after school, camps, teen fitness etc, must be well funded, quality programs, with well paid staff. If not, kids won’t want to go. If programs and staff are underpaid or underfunded, the program won’t succeed because the kids won’t show up. It would be wonderful to have more options for youth but only offer it if you can afford to fund it properly."
"99","aMfulZQJ",""
"100","TJB6es9I","I think it is essential for ALL kids to learn how to swim proficiently so that ALL adults can swim proficiently, particularly when living amongst so much open water. I was taught in a community pool at 6 months of age and prioritized teaching my children at a young age (but a little older for ears safety). I would love to see a nice, functional pool happen. I don’t believe in anything state of the art or competition level- it is too much financial burden on the majority of this community. I also believe a pool is extremely beneficial to the vast older population for health purposes or for those recovering from injuries. EDUCATION is key. Please promote swimming programs in the school systems (elementary) and make it accessible for all, not just the financially privileged. In the end, I am fully comfortable swimming in our cold waters 6 months out of the year so I do not need this pool, however I do believe it is optimal for all in our community to have access to one, especially if it can be incorporated into our early education programs. If adding a gym or cafe makes it more appealing, so be it. I will support that. Thank you for this convenient opportunity to voice an opinion."
"101","ATkrBDkj",""
"102","V8fJhlhm","I am fully in support of an appropriate facility that the community can use for sports, recreation and community events."
"103","izDTysaX",""
"104","clDTAo6O","I like the pool where is is. Would like to see a cafe and workout center on second level"
"105","KnB6knvX",""
"106","Q0CiZLSO","Outdoor pickle ball is a menace. Please do not include this in your plan. The neighbors will appreciate you. I won’t be able to answer whether I would support a tax without knowing the final cost of the project. I do not have children so the bulk of the benefits for this do not apply to me."
"107","1bCKmlez","We feel the community would benefit from a full YMCA however, expanding to a full recreational center would increase our likelihood of using it. We believe that having a community space would strengthen the ties we all need to bring people together for fun, recreation and support."
"108","cUfxE1b0",""
"109","EUC4CoAh","While we do not have children/teens in our household, we believe strongly in the community value of a place for children/teens to be involved in healthy, activities in a safe environment."
"110","Nhf41mDC",""
"111","FGfWUGO4","A new aquatic and rec center is needed. We would use it as much as our schedule allows especially if it had more offerings than our current pool.  It would be great to be able to take swim lessons here instead of traveling out of county. It would be great to add a boys swim team for school. Plus adding fun second like the PA pool & Bainbridge pool have would make it more inviting. Also, if the option for an outdoor pool was an option I could see us regularly coming in the summer! A rock climbing section so we didn't have to travel out of county would be amazing as well."
"112","DHk0z4uw",""
"113","MrCi3NQQ",""
"114","9eCid41r",""
"115","aJCYDJf4",""
"116","I0B6Vs59","Sales TAXESARE NOT THE WAY TO FUND CAPITAL PROJECTS THAT BEIFIT THE ENTIRE COMMUNITY. THEY ARE REGRESSIVE IN NATURE AND SHOULD BE AVOIDED. PLEASE USE PROPERTY TAXES AS THE VEHICLE FOR TAXING"
"117","eQCYUN32","Will males be allowed in female bath areas and vice versa."
"118","4CCiJwea","The rhetoric regarding pool location was very upsetting and revealing. If it was located in Port Townsend no one in the county wanted to pay for it. Now it is going to be located in Port Hadlock and all Port Townsend folks are primarily expected to pay for it. I'll be glad to have one but it is frustrating to be viewed as unimportant in the process except when it comes time to pay. Obvious that the rest of the country hates us but loves our money. This aquatic center debacle has made that very clear. And now the majority of the people in the county who will use the pool will have to travel 15+ minutes to use it. But glad all those 'no county tax for PT pool' signs disappeared. Maybe we can get a new print run of 'no county tax for PH pool' signs."
"119","48C4dNVO","I would support any new pool"
"120","UeDTJq36","Having a pool is very important to me for my physical health."
"121","lTCiwGyT",""
"122","XcCKIa2t","I think it’s vital to have an available swimming pool because it is such a healthy activity that has none of the downsides that many forms of  exercise have."
"123","cxB6B3Or","Gym equipment/facilities, rec community sports teams, fitness classes, we would be very excited in all of these things (and of course the pool itself!) our community needs more opportunities like this!"
"124","7rf7UmmC",""
"125","OZfLTOr5",""
"126","J5CKMuCf",""
"127","63fPOlnK",""
"128","Sifbmlr7",""
"129","77fpV8Oj",""
"130","qQfqZlTi",""
"131","Faf5Sia9",""
"132","95CKHOiR","Seniors cannot afford property tax increases.  This project needs to be self sustaining."
"133","0CCYA8lN",""
"134","YyB6bbNM",""
"135","pTEBjPZ9","Have waited a long long time for a new aquatic center, 40 years!  Very much needed and will be appreciated."
"136","0yCYbAFE",""
"137","wSB6atey","Preference for the pool to stay in PT, and not be run by the YMCA."
"138","TmCK6FKM","We do not support a sales tax increase. We do not support another pool, we already have 7 pools in this county and there will be 2 more built in Brinnon soon. Even located in Hadlock, this pool is inaccessible to too many residents and unaffordable."
"139","0ICYM4Iv","I moved to port Ludlow for access to the HOA amenities. Due to this I already pay for these services and would not utilize them. I see the value for the community but I do not think a sales tax is the way to pay for it."
"140","zrkExhca","I think it is a good thing. I grew up swimming every day in the summer and it is great exercise and important for kids who live around this much water to know how to swim."
"141","AGDTtrmm","I don't need my taxes to go up."
"142","ErEBCpJw","My family has lived in Jefferson county since the 1940s we own multiple properties but sadly any more property taxes might force us out of the area. All time and public employee efforts towards something most people don't want seems like a huge waste of public funds."
"143","D6C4CcSH",""
"144","kkCYlBVv","I believe this should be in Port Townsend, simply because if population density. Also N/A should am option. There are many services I wouldn’t use because they don’t apply to our family but I support"
"145","YDC4j0fF","Even tho I'm retired & have a grown son, swim lessons & competitive swimming were a very important part of our sons & our lives. As I age, having access to lap swimming, water exercise & possible water rehab as needed, is important to me. I think part of the problem with getting enough support for a pool, is too grand of a plan with too high of a price. How about starting with a pool that will support multiple needs & add gyms, etc down the road as needed? Our pool was on its last legs 30+ years ago when our son was swimming. We have been trying to rehab/replace it that whole time. It goes nowhere because the wish list is too extensive & expensive for our community to support.  We just need a pool."
"146","zHkrLkba","Fix the roads here first!"
"147","VCCK50rS",""
"148","kvkqIuFZ",""
"149","SOCKZRve","Ensure adequate parking spaces."
"150","glfXsY4c","I'm sorry, but our community has many needs of higher priority I'd rather fund with my taxes than this facility. There is so much outdoor recreation here. It's a ridiculous discussion, IMHO."
"151","8eCYZQmg","I am unable to use the current pool due to mobility limitations and the mold in the facility that kicks up asthma. Would LOVE to have access to an indoor pool to stay fit."
"152","BCCiXH1Y",""
"153","sOkHtZI9",""
"154","5RDT0hxc",""
"155","FbCiyiLR","I would definitely support a tax to build a pool in Port Townsend, which is the most densely populated area of the county. I think the pool should be in the city, not Port Hadlock."
"156","cCEBCjA6","Taxation without representation - this is being pushed through no matter what.  New taxation; then the state legislators are passing more and more taxes, levies and surcharges.  Enough is enough."
"157","F8CKoGqh","While disappointed that it’s not going in PT, we are happy there’s still a chance of this comprehensive facility being built nearby. We would definitely use it, especially if there’s a shower and locker room."
"158","LTEBQVZJ","I think it is vital to have a public pool in our community so that EVERY child can learn to swim and understand water safety.   Also, for our county's older citizens, access to a therapy pool and regular water exercise programs is a good way to improve the health and well-being and reduce dependency on our healthcare systems."
"159","JNC4rjcC","Please make it happen!!!!"
"160","VfCYBgCE",""
"161","jHCiJo37",""
"162","o1B6PBoj",""
"163","1wEB76ni",""
"164","csDT9DAV","Thanks for your efforts and good luck!"
"165","8gCivMDO","Let’s stay in budget and build a nice new pool, with changing rooms and showers. No pie in the sky wish list. I don’t think people in the county who will vote on this will want to pay increased taxes for non-essential add-ons that could be considered “luxuries”. Budgets are tight - voters’ budgets and the County’s budget. We need to be realistic about costs and about what increase in their tax bills county residents might be willing to accept.  I think the location is a very good choice."
"166","RBkCZKeV","We are a waterfront and a water activities related community. Swimming is not an elective but a mandatory safety issue"
"167","c3fqhmpy","I think it’s a very important asset for our community"
"168","WvCYh9GX",""
"169","tXC46auo","If given a vote I would not support approving a tax to pay for this"
"170","TvkEXFzl",""
"171","ibf0gdoG",""
"172","GKff6LRu",""
"173","5RDTboXU","Taxation is theft. A pool is not an essential government service. If you or others want a pool so badly, pay for it yourself. Have a bake sale or a raffle."
"174","j9CKDZxx","I’m concerned about the access/egress to the facility. I would not want additional traffic  on Cedar impacting the residents. It seems very unfair for all, (Forks, etc)  residents of Jefferson County to have to pay for a facility that they would rarely, if ever, use."
"175","18fhzETJ",""
"176","Qef5fLEG",""
"177","Z0DTiwe6","No. The county and PT city officials have repeatedly mismanaged money through lack of fiscal responsibility and some outright theft. I will not support raising a regressive sales tax or a tax on unrealized gains in the form of property taxes for this project. Fix the pool we have in PT for 1/10th the budget and build a small educational pool on a very small shoestring and I may get behind this but not with the track record of waste our current elected officials have behind them."
"178","7SCKvKZf","I would like gym equipment"
"179","6aCivOQX",""
"180","FSkmvnuN",""
"181","DHCYv7oR","I cannot afford this as alot of residents. There are more very important things to address than a pool. Housing is critical for lower income and non-housed residents."
"182","UlCiMwQ4",""
"183","j1C4iTdZ","We are on fixed income. We can not afford to pay more and more taxes for stuff we don't want. The city can't even fix the streets, manage a PDA, or build a Cherry St housing project. These decisions and the new one  being made on hiring a new arts coordinator make me want to start voting for Republicans and I have never voted for them. I don't believe the county has the competence to do this and we could end up paying more and more to get us out of a hole. Don't do this. Don't force more of us out of Port Townsend because that is what you are doing. Maybe that is what you want."
"184","jmDTVYco",""
"185","e5Cidgeh","Having this resource will be of key value to Chimacum and PT high schools, middle schools, and elementary schools. A community pool supports a kids growth throughout their life, both physically and mentally. Being able to compete on a team (swimming, diving(?), water polo, synchronized swimming) while in school is key as it allows students of all body sizes to find their lane (as it were).  Please continue to promote the healthy lifecycle of the swimmer. Starting as a youth, learning to swim, then potentially mastering one or more strokes as a competitive swimmer, and/or getting that swimming merit badge, then going on to become a lifeguard, then going on to become a Coast Guard officer, then swimming all through life into your 100's, etc. Pools are great and are a key part of a healthy, active community. Thank you!"
"186","UKkP7NN2","They need to fix the roads not build pools."
"187","rfB6sPan","The pool/aquatic center/fitness facility should be in the only UGA of JeffCo."
"188","ZBfh8p4x","I am adamantly opposed to taxation of the entire county for a city pool or aquatic center.  If you want it, find an investor and build a business plan that makes sense.  Take a vote of the entire county and see how unpopular this idea is.  Stop taxing everyone for PTs benefit."
"189","FHDTxUO8",""
"190","9qC4if8b",""
"191","1UB6VOPO",""
"192","fIDT4SZ6","PRESENTLY… Washington state elected officials are attempting to impose a property tax rate increase, the county wants more taxes/fees to maintain county roads soon there will be a sewer fee. Pool proponents, and BOCC seem to not understand how very expensive it is for working class families, and retirees who do not have big fat pension trying to hold on to homes. We own a 24x60 50 year old mobile home on a 1/3 acre lot and out property tax just went up to $1820.00 a year! PUD is $350.00 a month! how do young families even afford to live here anymore!?!"
"193","CpDThm2k","Thank you for continuing to make a pool happen."
"194","7zCirOJH","Sooner the better. Concerned about MVP breaking resulting in more pool closures"
"195","6MCYFAzJ","We’re so excited for a new pool and feel the Port Angeles Pool is a great model. Thank you!!"
"196","P8CiAM6H","As parents of a young child we strongly support a safe and fun facility for children to learn to swim - as well as a productive and healthy activity for people of all ages.  Thank you for your hard work!"
"197","eAEBICBu",""
"198","jwCKprEf","This type of facility is an important resource for our community."
"199","V0CKzFmO","Well you mention E. Jefferson County then further into the survey you mention Pt. Hadlock. That was weird, have you decided on Pt Hadlock ?"
"200","mlB60nod","The community would greatly benefit from a large scale community center of sorts. Pool, hot tub, sauna, health/wellness classes, water therapy, rock climbing, sport courts, playground/splash park, cafe, etc. would all be fantastic. Could actually create programs with the library (every 10 books read = free rec swim for kids in summer, is one idea)  Another idea for funding would be organizing a maker’s market of sorts, where a portion of the proceeds goes to the pool… I think the JeffCo community would pitch in on fundraising…  Another suggestion is a bus stop serviced by both the tri area bus and the Quil/Brinnon bus and perhaps some added bus times to increase reach for lower income folks.  Also, perhaps a membership option for more ongoing revenue.  I probably have a million more ideas."
"201","OYEBgMw0","I like the central county location.  I would not use one in PT.  I would love to see  midday (not early morning or late afternoon/evening) water aerobics classes!"
"202","WJDT9jqK",""
"203","v5CKF4ES","I like the idea of the pool being more centrally located . Probably won't use it much . I think swim lessons for children and maybe a swim teams would be good , instead of just port Townsend having that ability."
"204","5GB6A7k6",""
"205","e9CKJwPI",""
"206","aSfbBsmB","We would definitely use it! We are trying to get our little ones to learn how to swim and there are currently very limited options. We would use the pool so much if it opened up in Hadlock!"
"207","OPCYeGvN","about the tax increase....how long would that remain?"
"208","YwCY8H0x","I would only support an increase in the sales tax IF the city of Port Townsend was not also building a pool and asking for tax revenue."
"209","b7f0YVnj","While I am not a likely user of a recreational facility, I strongly support having one in our community. The benefits to our community are many."
"210","79CYG3LS","On a fixed income, have a mandatory HOA  (includes pool); all utilities and food costs rising."
"211","KxCKqVaO","Port Hadlock near the library would be an amazing location and many of our friends with and without families. I can imagine a sauna and hot tub being a huge resource for us as we continue to get older. We also love the idea of creating a space that kids and teenagers would love to be at since that can add so much to the safety and vibrancy of our local communities."
"212","L7C4Epe0","Very excited about a pool for water aerobics"
"213","0DB6XJR5",""
"214","KIC4l6iF",""
"215","2ECiEJ8T","Although I am not likely to use this facility often, I see this as a great opportunity for our communities youth. It would be nice to have late night teen nights as well."
"216","osCKFBEY",""
"217","nDCKFOw9",""
"218","t2DTEief","Jefferson county has a desperate need for accessible swim lessons for children, the current situation is ridiculously unsafe for children growing in proximity to natural bodies of water."
"219","3lB60b2N",""
"220","f0CKtJZC",""
"221","suEBCc68",""
"222","uIEBl11e","This is a much better location!"
"223","b5Ci5scM",""
"224","GLCiivC9","Waste of most folks dollars. Only those that intend to use it should pay. Taxes, taxes, taxes. This is simply just a few folks idea. Be done with it. Beaches and mountains...thats what we have here."
"225","1ACYLURA","I have grandchildren that also live here locally.  I am looking forward to having a local indoor recreation place to go with them. I am hoping it won't be too costly!!  Would LOVE to have an aquatics center similar to the one on Bainbridge Island!!"
"226","wzfSrh2u",""
"227","IZkA6Ntr",""
"228","GWB6QS45",""
"229","mJkyUEI0","I look forward to teaching fitness classes at the new facility."
"230","R6DTvIqa",""
"231","GHCYCiep","An Aquatic Center similar to The PA Aquatic center is a must. Especially during winter months as well as in the summer. Benefits  of swimming; gentle on the body while providing a great whole body workout ."
"232","BhkSi8U9","NO!"
"233","yQfYrBpa","This program is not wanted or needed at tax payers expense"
"234","maDT36JS",""
"235","02kyuVr4",""
"236","mzCYoKOk",""
"237","6MB6GEDz","I would love to be able to swim weekly and to bring my grandkids in often as well.  We live around the Salish Sea.  The children of our area need to be taught how to swim at an early age."
"238","SgfYY2VK","Please incorporate a UX team in the process and know what that means. Please make sure that the designers/architects involved have families that swim and understand that families who live here are all working class for the most part and will likely be underrepresented in the feedback process, though we exist in large numbers and want to see a pool designed for families and kids."
"239","8oB6xmki","Please provide multiple lap lanes that are available at all times"
"240","A8fDtcjW","More open pool times and more opportunities for swimming classes, please."
"241","BcC4FJLi",""
"242","d1B6Ie0q",""
"243","T3B6QmEv",""
"244","3VEB6c9F",""
"245","22CY8Gaw",""
"246","ikfMBbud",""
"247","3YfkPcIK",""
"248","CbkcBTnM","I would like it built in Port Townsend city limits."
"249","okDTMZLT","Not mentioned are possible school programs at the pool. Swimming lessons as part of school curriculum are important for our community near so many bodies of water."
"250","ogC4whAf","Bouldering/climbing gym would be amazing."
"251","zQCYP0XB",""
"252","t7k2dedg","This county is so wasteful and the mismanagement of our current tax dollars is disgusting.  There is no way I would ever support this.  Just another money grab that most of us who've lived here our whole lives can't afford to absorb.  Let the rich who've moved her with all their wealth pay for it if they want it.  I'll just keep swimming in the bay like my grandma taught me."
"253","v2fSiU5q",""
"254","BnEBSZis","We so need a pool! This is one of the few exercises I can do without pain. I’m lucky to live in Kala Point and have access to a pool in the summer but I don’t have access in the winter. I tried the Y and it was so crowded and the intense smell of chlorine in the small space made my eyes burn. And there are so few times that they offer lap swimming because they are sharing the space with the high school, the YMCA day care program and the public. Hadlock is the perfect place to put a pool in a centrally located place."
"255","g7CisNe2",""
"256","0IC49w8x",""
"257","VMC4KAPh",""
"258","QaCY7Ump",""
"259","jVfDJ7Yd",""
"260","elfRxUYm",""
"261","0Yfr2IRl",""
"262","xlfi3tSd",""
"263","27kL6RpN",""
"264","9uB6E8cH",""
"265","ycEBerXJ","We really need a new pool. The Mountainview pool is too crowded, too old, and has chronic problems that force it to close at the last minute. A new pool would be a winner for residents as well as visitors."
"266","wVCKkBLP","We need this facility."
"267","R1EBChxx",""
"268","v4C4EOJb","PLEEEEASE! Thanks for all the work on this, so important and continually struggles to get traction over the years!"
"269","GiCYw0Ll","No New Taxes!!!"
"270","LSfxYQhO",""
"271","Cmf67zWC",""
"272","PfDTH8gz","I think this is an amazing idea to add this in port Hadlock, with the sewer going in and Hadlock allowing growth this will be huge for the community especially adding things for older teens to use at the center!"
"273","oRCKsQVw",""
"274","G0CYiCtc","Let's build it!  The community needs it!  Movement is medicine and a public pool benefits us all."
"275","ygk9mh8z","I do not use indoor facilities of anybody kind right now or for foreseeable future. I would very likely use an outdoor pool and/or hot tub. If swimming instruction was available outside I would do that. If water exercise was available outside I would use that.  I am a nonbinary transgender man. I have been mercilessly harassed in shared changing/shower facilities all my life pre transition.  I have avoided pools most of my life due to harassment and I barely learned to swim although I love the water. I have never used single gender or shared shower/changing facilities post transition.  unless there are single stall showers and changing rooms, both with full curtains, that are expressly gender nonspecific (all sex/genders), then I would not be using the showers or changing facilities. That would greatly reduce the likelihood of me ever using the pool. On the other hand, if such facilities were available to me, and the pool itself was outdoors, I would envisage pretty frequent use.   I believe a pool is essential for our community. I would love a facility I felt comfortable using.  But I strongly believe we need one even if I were never to use it.    However I cannot support funding that uses a sales tax. This is a very regressive type of tax that puts too great a burden on people with less economic means. It takes a much higher percentage a poor person’s available funds than it does a richer person’s. It also tends to hit harder on  people who do not have the ability to go out of county to do their shopping. I believe it will also be keenly felt by anyone undertaking a major building project here.  The result will be an even greater tendency to purchase materials out of county, for example at big box building suppliers, and that will not be good for our local businesses.    I would also imagine that the sales tax would be applied to services purchased here? Would there be an added tax for dental work? For window washing and roof cleaning or repair? Again, I believe people will increasingly use out of county providers for services and this will not benefit the community.  Please find a less regressive funding mechanism.   I understand that one of the goals of the facility is for use by the public schools. And indeed the new proposed location is to be near a public school.  It seems to me that if the schools are to be using the facility then the school system should be expected to fund some part of it that is equivalent to the anticipated percent of use.  I used to live right next to a school that had a pool that was open to the public during certain hours. I used it once and then never used it. My experience was that the public hours were very short creating a massive competition for space and time. There were so many faster swimmers who were very impatient with beginners like myself.   in the afternoons the schedule was extremely crowded with school-related events, and open swimming ended up being late in the day. Too late and again too crowded.    I fear that having a pool be literally on site of a school will create these kinds of scheduling pressures. And if it is to be used much of the time or half of the time by the schools, then school funding should contribute to paying for it.  I will also weigh in to say that while I appreciate the challenges of building.a new pool on the site of the old pool, a facility in Chimacum will not provide the same level of access to the aging population inhabiting Port Townsend. My observation is that many elderly users currently walk to the pool, and a number of somewhat younger users bike to it.  t. Your survey does not ask about how people would get to the pool.  A number of us elderly folk in the area mask and rarely use public transport because other riders don’t mask. And a number of us are not really comfortable driving long distances.  Biking in this county outside of the city of PT is like handing your life over to a crazy game of a Russian roulette.  My point is that moving the pool out of the City of PT really changes/reduces access for an aging population that would greatly benefit from pool use and from the ability to walk or bike there.    I do not live in the City of PT but I would be way more likely to use a pool located there than in Chimacum: From my perspective it would be a lot better if the pool were located somewhere closer to halfway between.  However, I am under the impression that that ship has sailed And that the site has  pretty much been selected.  I don’t love it. I’ll use the pool less if at all. But I support the pool."
"276","XPCiOI2l","Why should west Jefferson County have to pay?"
"277","ngf12Fae","It's a real shame that the idea of building a facility in Port Townsend wasn't fiercely defended by y'all."
"278","ybfvAt60",""
"279","2qk4qAHa",""
"280","GSkKo4JL","Add/modify bus routes to help those who visit and work there."
"281","GvC4Ke4s","No"
"282","LbkOufJC",""
"283","qKC4ZpDu",""
