"","Response.ID","IP.address","Response.status","JeffCo.resident","City.area","Age","Under7","7_12","13_18","19_34","35_54","55-64","65_74","75_older","RateNewPoolImportance","Under7_Non.swimmer","Under7_Beginner","Under7_Intermediate","Under7_Advanced","7_12_Non.swimmer","7_12_Beginner","7_12_Intermediate","7_12_Advanced","13_18_Non.swimmer","13_18_Beginner","13_18_Intermediate","13_18_Advanced","19_34_Non.swimmer","19_34_Beginner","19_34_Intermediate","19_34_Advanced","35_54_Non.swimmer","35_54_Beginner","35_54_Intermediate","35_54_Advanced","55-64_Non.swimmer","55-64_Beginner","55-64_Intermediate","55-64_Advanced","65_74_Non.swimmer","65_74_Beginner","65_74_Intermediate","65_74_Advanced","75_older_Non.swimmer","75_older_Beginner","75_older_Intermediate","75_older_Advanced","UsedAquaticsPast2Years","WhichAquaticFacilities","FacilityUsageRate","AquaAmenities_LapSwimming","AquaAmenities_OpenSwim","AquaAmenities_YouthLessons","AquaAmenities_AdultLessons","AquaAmenities_CompetitiveSwim","AquaAmenities_LifeguardTrain","AquaAmenities_Aerobics","AquaAmenities_SyncroSwim","AquaAmenities_SportsLeagues","AquaAmenities_SafetyTrain","AquaAmenities_Therapeutic","AquaAmenities_PartyRental","AquaAmenities_ParentChild","AquaAmenities_Sauna","AquaAmenities_HotTub","AquaAmenities_PublicShower","AquaAmenities_OutdoorPool","AquaAmenities_SplashPark","AquaAmenities_UsageRate","RecAmenities_AfterschoolCamps","RecAmenities_Preschool","RecAmenities_Childcare","RecAmenities_Playgroups","RecAmenities_FitnessClass","RecAmenities_PhysTherapy","RecAmenities_EventSpace","RecAmenities_WellnessClass","RecAmenities_Kitchen","RecAmenities_Cafe","RecAmenities_Gym","RecAmenities_OutPickleball","RecAmenities_InPickleball","RecAmenities_RockClimb","RecAmenities_TeenFit","RecAmenities_TeenCenter","RecAmenities_UsageRate","TaxSupport"
"11","OZfLTOr5","172.56.241.35","PARTIAL","Yes, I live here part-time","Port Townsend (within city limits)","65-74","","","","One","","","Two","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,"Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","63fPOlnK","172.56.240.13","PARTIAL","Yes, I live here part-time","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","Sifbmlr7","172.56.241.147","PARTIAL","Yes, I live here part-time","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","77fpV8Oj","172.56.241.9","PARTIAL","Yes, I live here part-time","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","qQfqZlTi","172.56.240.177","PARTIAL","Yes, I live here part-time","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","Faf5Sia9","172.56.240.187","PARTIAL","Yes, I live here part-time","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","0CCYA8lN","104.28.116.100","PARTIAL","Yes, I live here full-time","Port Hadlock-Irondale","65-74","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","0yCYbAFE","172.56.109.122","PARTIAL","Yes, I live here full-time","Port Townsend (outside the city limits)","35-54","5","0","1","1","2","0","1","0","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Yes","Bainbridge Island","Less than once a month","Somewhat likely","Very likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Somewhat likely","Very likely","Not likely","Not likely","Very likely","Very likely","Very likely","Not likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Very likely","Very likely","Not likely","Very likely","Very likely","Not likely","Not likely","Very likely","Very likely","Very likely","Several times a month","Yes"
"19","VCCK50rS","24.113.165.74","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","35-54","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","WvCYh9GX","208.70.151.122","PARTIAL","Yes, I live here full-time","Discovery Bay","75+","","","","","","","","1","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"No","","Don't use an aquatic facility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","ibf0gdoG","172.56.108.42","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","35-54","","1","","","2","","","","Very important",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Angeles SHORE Aquatic Center,Port Townsend Y/Mountain View Pool","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","GKff6LRu","172.56.108.148","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","18fhzETJ","87.118.116.90","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","55-64","","","","","","1","1","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No"
"24","Qef5fLEG","195.176.3.24","PARTIAL","Yes, I live here full-time","Coyle","55-64","","","","","1","2","","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No"
"25","nDCKFOw9","24.113.165.50","PARTIAL","Yes, I live here full-time","Kala Point","65-74","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","3lB60b2N","98.97.43.8","PARTIAL","Yes, I live here full-time","Quilcene","35-54","","3","2","","","2","","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","b5Ci5scM","107.122.81.17","PARTIAL","Yes, I live here full-time","Brinnon","65-74","2","","1","","3","","","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","0IC49w8x","172.58.132.41","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","55-64","","","","","","2","","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","",""
"29","elfRxUYm","107.77.205.187","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","35-54","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","xlfi3tSd","174.231.131.64","PARTIAL","Yes, I live here full-time","Port Hadlock-Irondale","35-54","1","1","","","2","","","","Very important",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Angeles SHORE Aquatic Center,Port Townsend Y/Mountain View Pool,Bainbridge Island","Less than once a month","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","More than once a week","Very likely","Somewhat likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Not likely","Not likely","Very likely","Very likely","Very likely","More than once a week","Yes"
"31","WMfGIkt4","172.56.107.44","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","75+","","","","","","","1","1","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,"No","","Don't use an aquatic facility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","NiDTqvPg","24.113.130.74","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","55-64","","","","","","2","","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Somewhat likely","Somewhat likely","","","","","Somewhat likely","","","","Somewhat likely","","","Somewhat likely","Somewhat likely","","Not likely","Not likely","","","","","","","","","","","","","","","","","","",""
"33","ZyCi7nrM","65.102.114.149","PARTIAL","Yes, I live here full-time","Chimacum","65-74","0","0","0","0","1","","1","0","No opinion/more information needed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","vYkZw2MT","107.115.213.10","PARTIAL","Yes, I live here full-time","Port Hadlock-Irondale","18-34","2","1","0","2","0","0","0","0","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","iKCiExSv","24.113.162.75","PARTIAL","Yes, I live here full-time","Quilcene","65-74","","","","","","","2","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","","","","","","","","","","","","","","","","","","","Never","","","","","","","","","","","","","","","","","Never",""
"36","UvB6xQHP","104.28.116.133","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","55-64","","","","2","","2","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Angeles SHORE Aquatic Center,Sequim Y,Port Townsend Y/Mountain View Pool,Bainbridge Island,Olympic Aquatic Center - Bremerton","Several times a month","Very likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Very likely","Not likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Not likely","Not likely","Very likely","Very likely","Not likely","Somewhat likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No"
"37","MbB6Ff3t","24.113.158.243","PARTIAL","Yes, I live here full-time","Port Townsend (outside the city limits)","75+","2","","","","","","","","Somewhat important",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","7WB6bSMr","24.113.131.91","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","35-54","2","","","","2","","","","Very important",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Angeles SHORE Aquatic Center,Port Townsend Y/Mountain View Pool","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","AJC4gO1m","172.226.3.176","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","KVEBdpic","172.226.2.124","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","2","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,"Yes","Port Townsend Y/Mountain View Pool","Less than once a month","Very likely","","","","","","Somewhat likely","","","","","","","","","","","","Several times a month","","","","","Somewhat likely","Somewhat likely","","Somewhat likely","","","","","","","","","",""
"41","2afoKf07","24.113.156.75","PARTIAL","Yes, I live here full-time","Cape George","75+","","","","","","","","1","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","","","","","","","","","","","","","","","","","",""
"42","plCYtQ0h","216.122.13.116","PARTIAL","Yes, I live here full-time","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","nlCKM67V","104.28.116.130","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","75+","","","","","","","","2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","oHB6SXjl","37.19.196.148","PARTIAL","Yes, I live here full-time","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","R6EBgGwv","24.113.164.118","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","2","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Yes","Silverdale Y,Port Townsend Y/Mountain View Pool","Several times a month","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","LrDThfZq","185.216.231.66","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","35-54","","","","","1","","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","16fkl5DZ","24.113.160.185","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","75+","","","","","","","","1","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","","","","","","","","","","","","","","","","","","",""
"48","96DTKAZ9","71.212.108.203","PARTIAL","Yes, I live here part-time","Coyle","35-54","","1","1","","2","","","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Hood Canal","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","I don't know/need more information"
"49","bfCY9orx","24.113.153.239","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","35-54","","","","","1","","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Townsend Y/Mountain View Pool,Other (Please specify) - When traveling","Less than once a month","","","","","","","","","","","","","","","","","","","Never","","","","","","","","","","","","","","","","","",""
"50","3xfWox7g","12.39.134.2","PARTIAL","Yes, I live here full-time","Port Hadlock-Irondale","65-74","","","","","","","1","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
