"","JeffCo_Visit_Freq","Visit_Season","Visit_Length","Visit_Reason","AquaAmenities_LapSwimming","AquaAmenities_SwimLessons","AquaAmenities_OpenSwim","AquaAmenities_Aerobics","AquaAmenities_SwimMeets","AquaAmenities_SafetyTrain","AquaAmenities_Therapeutic","AquaAmenities_ParentChild","AquaAmenities_Sauna","AquaAmenities_HotTub","AquaAmenities_PublicShower","AquaAmenities_OutdoorPool","AquaAmenities_SplashPark","RecAmenities_FitnessClass","RecAmenities_Gym","RecAmenities_OutPickleball","RecAmenities_InPickleball","RecAmenities_RockClimb","RecAmenities_Childcare","RecAmenities_DaycareSummerCamp","RecAmenities_YouthActivities","RecAmenities_TeenFit","RecAmenities_TeenCenter","RecAmenities_Cafe","AquaRecAmenities_UsageRate","Comments"
"19","Monthly","Spring,Summer,Winter,Fall","Daytrips,Weekend trips (one or two overnight stays)","Visit family/friends,Business/seasonal employment,Sightseeing/shopping,Arts and culture","Very likely","Not likely","Very likely","Very likely","Not likely","Very likely","Very likely","Somewhat likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Very likely","Yes, I would be more likely to visit","A pool is an excellent way to build community. Look to the Shore Aquatic Center in PORT ANGELES as an example. It is an incredible recreational center."
"20","Weekly","Spring,Summer,Winter,Fall","Daytrips,Weekend trips (one or two overnight stays)","Visit family/friends,Outdoor recreation,Arts and culture,Maritime/port","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","No, I would not be more likely to visit","There is nothing that a pool and the extras would offer that could compete with what's already in your area-- Olympic park and forest, unlimited hiking and camping, tons of events, culture, etc. etc. etc. We have no interest at all in your pool, no matter how much other non-pool stuff you try to toss in."
"21","Monthly","Spring,Summer,Winter,Fall","Daytrips,Weekend trips (one or two overnight stays)","Visit family/friends,Outdoor recreation,Sightseeing/shopping,Arts and culture","Not likely","Not likely","Very likely","Very likely","Not likely","Very likely","Not likely","Very likely","Very likely","Very likely","Very likely","Very likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Very likely","Yes, I would be more likely to visit",""
"22","Yearly","Spring,Summer,Winter,Fall","Daytrips","Visit family/friends,Outdoor recreation,Sightseeing/shopping,Arts and culture","Very likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","No, I would not be more likely to visit",""
"23","Monthly","Spring,Winter,Fall","Daytrips","Visit family/friends,Outdoor recreation","","","","","","","","","","","","","","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","No, I would not be more likely to visit",""
"24","Monthly","Spring,Summer,Winter,Fall","Daytrips","Visit family/friends,Outdoor recreation,Other (Please specify) - Fishing","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Yes, I would be more likely to visit",""
"25","Yearly","Summer","Longer than one week","Visit family/friends,Outdoor recreation,Sightseeing/shopping,Arts and culture","Very likely","Somewhat likely","Very likely","Not likely","Very likely","Not likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Yes, I would be more likely to visit",""
"26","Yearly","Summer","Weekend trips (one or two overnight stays)","Visit family/friends,Outdoor recreation,Sightseeing/shopping","Somewhat likely","Not likely","Very likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Very likely","Very likely","Very likely","Very likely","Yes, I would be more likely to visit",""
"27","Yearly","Spring,Summer,Winter,Fall","Daytrips","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","Yearly","Summer","Longer than one week","Visit family/friends","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Very likely","Somewhat likely","Very likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Very likely","Very likely","Yes, I would be more likely to visit","I would love it if there was a place to teach my grandkids to learn to swim and a place for them to get healthy exercise. When I went there to babysit them I was disappointed in the lack of activity available for young people. The young are our future! Help us raise healthy children both mentally and physically."
"29","Monthly","Spring,Summer,Winter,Fall","Daytrips","Outdoor recreation,Sightseeing/shopping,Arts and culture","Very likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","","Not likely","Not likely","Yes, I would be somewhat more likely to visit",""
"30","Yearly","Summer","Week-long trips","Visit family/friends","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","No, I would not be more likely to visit","This potential feature has no value for my household."
"31","This is my first time visiting","","Daytrips","Other (Please specify) - Evaluating retiring here","Very likely","Not likely","Very likely","Very likely","Very likely","Not likely","Very likely","Not likely","Very likely","Very likely","Very likely","Somewhat likely","Not likely","Very likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Yes, I would be more likely to visit","Build it and folks will come!"
"32","Weekly","Spring,Summer,Winter,Fall","Week-long trips","Other (Please specify) - Plan to move here","Very likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Very likely","Very likely","Very likely","Very likely","Not likely","Very likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Very likely","Yes, I would be more likely to visit","Lap swim is our priority - having open lanes with varied available swim times."
"33","Yearly","Summer","Longer than one week","Visit family/friends","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","No, I would not be more likely to visit","Aquatic center visitation is not an activity for me"
"34","Monthly","Spring,Summer,Fall","Daytrips","Outdoor recreation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","Monthly","Spring,Summer,Winter,Fall","Weekend trips (one or two overnight stays),Week-long trips","Visit family/friends,Outdoor recreation","Very likely","Somewhat likely","Very likely","Not likely","Not likely","Very likely","Somewhat likely","Very likely","Very likely","Very likely","Not likely","Not likely","Very likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Not likely","Not likely","Very likely","Very likely","Yes, I would be more likely to visit",""
"36","Yearly","Summer","Longer than one week","Visit family/friends","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","No, I would not be more likely to visit","Not interested in aquatic center"
"37","Weekly","Spring,Summer,Winter,Fall","Daytrips","Business/seasonal employment","Somewhat likely","Not likely","Very likely","Somewhat likely","Not likely","Somewhat likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Not likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Yes, I would be more likely to visit","I work in Jefferson county, so I'm here nearly every day"
