Response.ID,Comments
9Qk1CNOV,"Perhaps there is a need for a better facility than Mt. View, but from what I know that facility isn't used much, so when there are so many other perhaps more important matters to attend to in our county, spend tax payers money on a pool. Cut the costs and help PT improve the Mt. View pool. I believe there are already 6 or 7 pools in the county. Do we really need another?"
2mCYYzfN,Just wish the new center was in walking distance of PT
XVDTtouz,it is time to cut taxes  We need to put tax money towards needs not wants
yBC4MV3k,"I currently drive to the Sequim YMCA 2-3 times per week (from Port Townsend) exclusively for masters swimming because they have a coach, a full length lap pool, and overall better facilities. I would love to have a similar program in Jefferson County and would attend as much as possible!"
7nCY66bz,"I think it is imperative to build a new pool with fun amenities for kids that will prevent parents from continuing to take their children out of county to more exciting pools like Port Angeles or Bainbridge Island. This pool absolutely needs to compete with those fun pools to keep our business in this county. Spend money to make money. Include a lazy river and whirlpool. Put in slides, water play features, and make the pool zero entry for those with disabilities or emerging skills. Thanks for all your hard work!"
ZREBdA4z,"This needs to be built as a multi-use fitness center. Pool, weight room, aerobics classes, indoor track around it all."
DKCKAx4A,"I believe you caved to criticism by idiots. Ludlow-ites already have pools. Chimacum and Hadlock residents will not be using the pool the way Port Townsend residents would have. I'm afraid that you will spend an incredible amount of money on a facility that will be ignored by the local residents.  You assumed that you would hear from PT residents. But you did not. Those of us heartbroken by the past and future closure of Mountain View are silent, grieving and not inclined to public speeches and the bullying atmosphere of public meetings. But oh, we would have all shown up in droves to a new PT facility. I know you can't bank on a silent bunch of people. But you could have banked on my daily use. And so many others who never spoke about it."
mPCK1NWs,"If it could have a gym or rock climbing area, we would use this facility up to 6 days a week."
J5CKVL0Y,Money would be better spent in MAJOR and EXTENSIVE repairs to our roads.
uqCi57LE,"Would love to keep the facilities in Port Townsend. Most East county residents have business in the city to accomplish anyway. In my opinion, the facilities will be much better utilized in Port Townsend."
svDTiZ9H,"The facility would be a nice addition, but being so far from Port Townsend my family would likely not use it ... just too far to drive/bike (we try not to drive)."
uCDT5lYr,"For the sake of community harmony and togetherness, I hope we approach a design that could be developed in stages, focusing on a lap pool first. When this project over-reaches is when a larger portion of the community pushes back. All that said, we love having a pool and will use it often!"
Iff5Kt9e,Thank you for considering this. The pool in town is not suitable for children.
8SCK7A4y,I would oike to see the YMCA run the Aquatics Orograms.
1XCiOYNZ,"0.2% isn't small. That would be at least an $800 increase to the mortgage taxes for a home assessed at 400k. We want a pool, but this may need some more creative funding."
51CKf88s,We need a new facility and should not scrimp on one now just because it is expensive. It will get more expensive & a bare bones facility will not provide enough options to have a reasonable ROI.
mCCiEOZG,I will vote against a sales tax to fund this facility. I will lead a community effort to stop any increase in sales taxes in Jefferson County. Sales taxes hurt the poor. Don’t hurt the poor. I will support a property tax increase to fund this facility.
ufCK8D5a,"PLEASE STREAMLINE THE PROCESS, It's good for fitness, physical as well as mental and social."
d4DTntZh,"I am very excited about the possibility that the new center will be located near the primary school and library in Port Hadlock. We take care of our toddler granddaughter 2 days or more a week. I would love to have a place to take her for swim lessons and recreation and I would certainly use a fitness room and the pool 4 or more days a week. Right now we have to drive 5 miles to work out at Evergreen Fitness. I love the idea of a community gathering place/pool/fitness center in Port Hadlock, which IS the designated Urban Growth Area of Jefferson County."
XoB6nRjL,Please build the pool before I’m too old to use it.
GtEBLRAF,"We think the proposed location is a great choice for the community! While we would not be primary users we support a basic pool facility for the counties youth to use. Keep it simple. Pay attention to who the potential users will be and don't over build by getting caught up in a ""Keeping up with Seattle"" syndrome. This is a rural community, not an urban one."
IZkLJE18,This small community should not expend money it does not have. Our budget should include things that are obviously necessary to our area. This is luxury spending.
FYC4sgaC,"I wholeheartedly support the new choice of location, I did NOT support the plan to build the aquatic center on the pt golf course. My main desire for a pool is for others, mainly children who need to learn to swim safely due to our maritime environment"
yqk4cneM,Fix the existing infrastructure.   Update equipment and facilities.
StCKDZa5,"The programs mentioned, such as after school, camps, teen fitness etc, must be well funded, quality programs, with well paid staff. If not, kids won’t want to go. If programs and staff are underpaid or underfunded, the program won’t succeed because the kids won’t show up. It would be wonderful to have more options for youth but only offer it if you can afford to fund it properly."
TJB6es9I,"I think it is essential for ALL kids to learn how to swim proficiently so that ALL adults can swim proficiently, particularly when living amongst so much open water. I was taught in a community pool at 6 months of age and prioritized teaching my children at a young age (but a little older for ears safety). I would love to see a nice, functional pool happen. I don’t believe in anything state of the art or competition level- it is too much financial burden on the majority of this community. I also believe a pool is extremely beneficial to the vast older population for health purposes or for those recovering from injuries. EDUCATION is key. Please promote swimming programs in the school systems (elementary) and make it accessible for all, not just the financially privileged. In the end, I am fully comfortable swimming in our cold waters 6 months out of the year so I do not need this pool, however I do believe it is optimal for all in our community to have access to one, especially if it can be incorporated into our early education programs. If adding a gym or cafe makes it more appealing, so be it. I will support that. Thank you for this convenient opportunity to voice an opinion."
V8fJhlhm,"I am fully in support of an appropriate facility that the community can use for sports, recreation and community events."
clDTAo6O,I like the pool where is is. Would like to see a cafe and workout center on second level
Q0CiZLSO,Outdoor pickle ball is a menace. Please do not include this in your plan. The neighbors will appreciate you. I won’t be able to answer whether I would support a tax without knowing the final cost of the project. I do not have children so the bulk of the benefits for this do not apply to me.
1bCKmlez,"We feel the community would benefit from a full YMCA however, expanding to a full recreational center would increase our likelihood of using it. We believe that having a community space would strengthen the ties we all need to bring people together for fun, recreation and support."
EUC4CoAh,"While we do not have children/teens in our household, we believe strongly in the community value of a place for children/teens to be involved in healthy, activities in a safe environment."
FGfWUGO4,"A new aquatic and rec center is needed. We would use it as much as our schedule allows especially if it had more offerings than our current pool.  It would be great to be able to take swim lessons here instead of traveling out of county. It would be great to add a boys swim team for school. Plus adding fun second like the PA pool & Bainbridge pool have would make it more inviting. Also, if the option for an outdoor pool was an option I could see us regularly coming in the summer! A rock climbing section so we didn't have to travel out of county would be amazing as well."
I0B6Vs59,Sales TAXESARE NOT THE WAY TO FUND CAPITAL PROJECTS THAT BEIFIT THE ENTIRE COMMUNITY. THEY ARE REGRESSIVE IN NATURE AND SHOULD BE AVOIDED. PLEASE USE PROPERTY TAXES AS THE VEHICLE FOR TAXING
eQCYUN32,Will males be allowed in female bath areas and vice versa.
4CCiJwea,The rhetoric regarding pool location was very upsetting and revealing. If it was located in Port Townsend no one in the county wanted to pay for it. Now it is going to be located in Port Hadlock and all Port Townsend folks are primarily expected to pay for it. I'll be glad to have one but it is frustrating to be viewed as unimportant in the process except when it comes time to pay. Obvious that the rest of the country hates us but loves our money. This aquatic center debacle has made that very clear. And now the majority of the people in the county who will use the pool will have to travel 15+ minutes to use it. But glad all those 'no county tax for PT pool' signs disappeared. Maybe we can get a new print run of 'no county tax for PH pool' signs.
48C4dNVO,I would support any new pool
UeDTJq36,Having a pool is very important to me for my physical health.
XcCKIa2t,I think it’s vital to have an available swimming pool because it is such a healthy activity that has none of the downsides that many forms of  exercise have.
cxB6B3Or,"Gym equipment/facilities, rec community sports teams, fitness classes, we would be very excited in all of these things (and of course the pool itself!) our community needs more opportunities like this!"
95CKHOiR,Seniors cannot afford property tax increases.  This project needs to be self sustaining.
pTEBjPZ9,"Have waited a long long time for a new aquatic center, 40 years!  Very much needed and will be appreciated."
wSB6atey,"Preference for the pool to stay in PT, and not be run by the YMCA."
TmCK6FKM,"We do not support a sales tax increase. We do not support another pool, we already have 7 pools in this county and there will be 2 more built in Brinnon soon. Even located in Hadlock, this pool is inaccessible to too many residents and unaffordable."
0ICYM4Iv,I moved to port Ludlow for access to the HOA amenities. Due to this I already pay for these services and would not utilize them. I see the value for the community but I do not think a sales tax is the way to pay for it.
zrkExhca,I think it is a good thing. I grew up swimming every day in the summer and it is great exercise and important for kids who live around this much water to know how to swim.
AGDTtrmm,I don't need my taxes to go up.
ErEBCpJw,My family has lived in Jefferson county since the 1940s we own multiple properties but sadly any more property taxes might force us out of the area. All time and public employee efforts towards something most people don't want seems like a huge waste of public funds.
kkCYlBVv,"I believe this should be in Port Townsend, simply because if population density. Also N/A should am option. There are many services I wouldn’t use because they don’t apply to our family but I support"
YDC4j0fF,"Even tho I'm retired & have a grown son, swim lessons & competitive swimming were a very important part of our sons & our lives. As I age, having access to lap swimming, water exercise & possible water rehab as needed, is important to me. I think part of the problem with getting enough support for a pool, is too grand of a plan with too high of a price. How about starting with a pool that will support multiple needs & add gyms, etc down the road as needed? Our pool was on its last legs 30+ years ago when our son was swimming. We have been trying to rehab/replace it that whole time. It goes nowhere because the wish list is too extensive & expensive for our community to support.  We just need a pool."
zHkrLkba,Fix the roads here first!
SOCKZRve,Ensure adequate parking spaces.
glfXsY4c,"I'm sorry, but our community has many needs of higher priority I'd rather fund with my taxes than this facility. There is so much outdoor recreation here. It's a ridiculous discussion, IMHO."
8eCYZQmg,I am unable to use the current pool due to mobility limitations and the mold in the facility that kicks up asthma. Would LOVE to have access to an indoor pool to stay fit.
FbCiyiLR,"I would definitely support a tax to build a pool in Port Townsend, which is the most densely populated area of the county. I think the pool should be in the city, not Port Hadlock."
cCEBCjA6,"Taxation without representation - this is being pushed through no matter what.  New taxation; then the state legislators are passing more and more taxes, levies and surcharges.  Enough is enough."
F8CKoGqh,"While disappointed that it’s not going in PT, we are happy there’s still a chance of this comprehensive facility being built nearby. We would definitely use it, especially if there’s a shower and locker room."
LTEBQVZJ,"I think it is vital to have a public pool in our community so that EVERY child can learn to swim and understand water safety.   Also, for our county's older citizens, access to a therapy pool and regular water exercise programs is a good way to improve the health and well-being and reduce dependency on our healthcare systems."
JNC4rjcC,Please make it happen!!!!
csDT9DAV,Thanks for your efforts and good luck!
8gCivMDO,"Let’s stay in budget and build a nice new pool, with changing rooms and showers. No pie in the sky wish list. I don’t think people in the county who will vote on this will want to pay increased taxes for non-essential add-ons that could be considered “luxuries”. Budgets are tight - voters’ budgets and the County’s budget. We need to be realistic about costs and about what increase in their tax bills county residents might be willing to accept.  I think the location is a very good choice."
RBkCZKeV,We are a waterfront and a water activities related community. Swimming is not an elective but a mandatory safety issue
c3fqhmpy,I think it’s a very important asset for our community
tXC46auo,If given a vote I would not support approving a tax to pay for this
5RDTboXU,"Taxation is theft. A pool is not an essential government service. If you or others want a pool so badly, pay for it yourself. Have a bake sale or a raffle."
j9CKDZxx,"I’m concerned about the access/egress to the facility. I would not want additional traffic  on Cedar impacting the residents. It seems very unfair for all, (Forks, etc)  residents of Jefferson County to have to pay for a facility that they would rarely, if ever, use."
Z0DTiwe6,No. The county and PT city officials have repeatedly mismanaged money through lack of fiscal responsibility and some outright theft. I will not support raising a regressive sales tax or a tax on unrealized gains in the form of property taxes for this project. Fix the pool we have in PT for 1/10th the budget and build a small educational pool on a very small shoestring and I may get behind this but not with the track record of waste our current elected officials have behind them.
7SCKvKZf,I would like gym equipment
DHCYv7oR,I cannot afford this as alot of residents. There are more very important things to address than a pool. Housing is critical for lower income and non-housed residents.
j1C4iTdZ,"We are on fixed income. We can not afford to pay more and more taxes for stuff we don't want. The city can't even fix the streets, manage a PDA, or build a Cherry St housing project. These decisions and the new one  being made on hiring a new arts coordinator make me want to start voting for Republicans and I have never voted for them. I don't believe the county has the competence to do this and we could end up paying more and more to get us out of a hole. Don't do this. Don't force more of us out of Port Townsend because that is what you are doing. Maybe that is what you want."
e5Cidgeh,"Having this resource will be of key value to Chimacum and PT high schools, middle schools, and elementary schools. A community pool supports a kids growth throughout their life, both physically and mentally. Being able to compete on a team (swimming, diving(?), water polo, synchronized swimming) while in school is key as it allows students of all body sizes to find their lane (as it were).  Please continue to promote the healthy lifecycle of the swimmer. Starting as a youth, learning to swim, then potentially mastering one or more strokes as a competitive swimmer, and/or getting that swimming merit badge, then going on to become a lifeguard, then going on to become a Coast Guard officer, then swimming all through life into your 100's, etc. Pools are great and are a key part of a healthy, active community. Thank you!"
UKkP7NN2,They need to fix the roads not build pools.
rfB6sPan,The pool/aquatic center/fitness facility should be in the only UGA of JeffCo.
ZBfh8p4x,"I am adamantly opposed to taxation of the entire county for a city pool or aquatic center.  If you want it, find an investor and build a business plan that makes sense.  Take a vote of the entire county and see how unpopular this idea is.  Stop taxing everyone for PTs benefit."
fIDT4SZ6,"PRESENTLY… Washington state elected officials are attempting to impose a property tax rate increase, the county wants more taxes/fees to maintain county roads soon there will be a sewer fee. Pool proponents, and BOCC seem to not understand how very expensive it is for working class families, and retirees who do not have big fat pension trying to hold on to homes. We own a 24x60 50 year old mobile home on a 1/3 acre lot and out property tax just went up to $1820.00 a year! PUD is $350.00 a month! how do young families even afford to live here anymore!?!"
CpDThm2k,Thank you for continuing to make a pool happen.
7zCirOJH,Sooner the better. Concerned about MVP breaking resulting in more pool closures
6MCYFAzJ,We’re so excited for a new pool and feel the Port Angeles Pool is a great model. Thank you!!
P8CiAM6H,As parents of a young child we strongly support a safe and fun facility for children to learn to swim - as well as a productive and healthy activity for people of all ages.  Thank you for your hard work!
jwCKprEf,This type of facility is an important resource for our community.
V0CKzFmO,"Well you mention E. Jefferson County then further into the survey you mention Pt. Hadlock. That was weird, have you decided on Pt Hadlock ?"
mlB60nod,"The community would greatly benefit from a large scale community center of sorts. Pool, hot tub, sauna, health/wellness classes, water therapy, rock climbing, sport courts, playground/splash park, cafe, etc. would all be fantastic. Could actually create programs with the library (every 10 books read = free rec swim for kids in summer, is one idea)  Another idea for funding would be organizing a maker’s market of sorts, where a portion of the proceeds goes to the pool… I think the JeffCo community would pitch in on fundraising…  Another suggestion is a bus stop serviced by both the tri area bus and the Quil/Brinnon bus and perhaps some added bus times to increase reach for lower income folks.  Also, perhaps a membership option for more ongoing revenue.  I probably have a million more ideas."
OYEBgMw0,I like the central county location.  I would not use one in PT.  I would love to see  midday (not early morning or late afternoon/evening) water aerobics classes!
v5CKF4ES,"I like the idea of the pool being more centrally located . Probably won't use it much . I think swim lessons for children and maybe a swim teams would be good , instead of just port Townsend having that ability."
aSfbBsmB,We would definitely use it! We are trying to get our little ones to learn how to swim and there are currently very limited options. We would use the pool so much if it opened up in Hadlock!
OPCYeGvN,about the tax increase....how long would that remain?
YwCY8H0x,I would only support an increase in the sales tax IF the city of Port Townsend was not also building a pool and asking for tax revenue.
b7f0YVnj,"While I am not a likely user of a recreational facility, I strongly support having one in our community. The benefits to our community are many."
79CYG3LS,"On a fixed income, have a mandatory HOA  (includes pool); all utilities and food costs rising."
KxCKqVaO,Port Hadlock near the library would be an amazing location and many of our friends with and without families. I can imagine a sauna and hot tub being a huge resource for us as we continue to get older. We also love the idea of creating a space that kids and teenagers would love to be at since that can add so much to the safety and vibrancy of our local communities.
L7C4Epe0,Very excited about a pool for water aerobics
2ECiEJ8T,"Although I am not likely to use this facility often, I see this as a great opportunity for our communities youth. It would be nice to have late night teen nights as well."
t2DTEief,"Jefferson county has a desperate need for accessible swim lessons for children, the current situation is ridiculously unsafe for children growing in proximity to natural bodies of water."
uIEBl11e,This is a much better location!
GLCiivC9,"Waste of most folks dollars. Only those that intend to use it should pay. Taxes, taxes, taxes. This is simply just a few folks idea. Be done with it. Beaches and mountains...thats what we have here."
1ACYLURA,I have grandchildren that also live here locally.  I am looking forward to having a local indoor recreation place to go with them. I am hoping it won't be too costly!!  Would LOVE to have an aquatics center similar to the one on Bainbridge Island!!
mJkyUEI0,I look forward to teaching fitness classes at the new facility.
GHCYCiep,An Aquatic Center similar to The PA Aquatic center is a must. Especially during winter months as well as in the summer. Benefits  of swimming; gentle on the body while providing a great whole body workout .
BhkSi8U9,NO!
yQfYrBpa,This program is not wanted or needed at tax payers expense
6MB6GEDz,I would love to be able to swim weekly and to bring my grandkids in often as well.  We live around the Salish Sea.  The children of our area need to be taught how to swim at an early age.
SgfYY2VK,"Please incorporate a UX team in the process and know what that means. Please make sure that the designers/architects involved have families that swim and understand that families who live here are all working class for the most part and will likely be underrepresented in the feedback process, though we exist in large numbers and want to see a pool designed for families and kids."
8oB6xmki,Please provide multiple lap lanes that are available at all times
A8fDtcjW,"More open pool times and more opportunities for swimming classes, please."
CbkcBTnM,I would like it built in Port Townsend city limits.
okDTMZLT,Not mentioned are possible school programs at the pool. Swimming lessons as part of school curriculum are important for our community near so many bodies of water.
ogC4whAf,Bouldering/climbing gym would be amazing.
t7k2dedg,This county is so wasteful and the mismanagement of our current tax dollars is disgusting.  There is no way I would ever support this.  Just another money grab that most of us who've lived here our whole lives can't afford to absorb.  Let the rich who've moved her with all their wealth pay for it if they want it.  I'll just keep swimming in the bay like my grandma taught me.
BnEBSZis,"We so need a pool! This is one of the few exercises I can do without pain. I’m lucky to live in Kala Point and have access to a pool in the summer but I don’t have access in the winter. I tried the Y and it was so crowded and the intense smell of chlorine in the small space made my eyes burn. And there are so few times that they offer lap swimming because they are sharing the space with the high school, the YMCA day care program and the public. Hadlock is the perfect place to put a pool in a centrally located place."
ycEBerXJ,"We really need a new pool. The Mountainview pool is too crowded, too old, and has chronic problems that force it to close at the last minute. A new pool would be a winner for residents as well as visitors."
wVCKkBLP,We need this facility.
v4C4EOJb,"PLEEEEASE! Thanks for all the work on this, so important and continually struggles to get traction over the years!"
GiCYw0Ll,No New Taxes!!!
PfDTH8gz,"I think this is an amazing idea to add this in port Hadlock, with the sewer going in and Hadlock allowing growth this will be huge for the community especially adding things for older teens to use at the center!"
G0CYiCtc,Let's build it!  The community needs it!  Movement is medicine and a public pool benefits us all.
ygk9mh8z,"I do not use indoor facilities of anybody kind right now or for foreseeable future. I would very likely use an outdoor pool and/or hot tub. If swimming instruction was available outside I would do that. If water exercise was available outside I would use that.  I am a nonbinary transgender man. I have been mercilessly harassed in shared changing/shower facilities all my life pre transition.  I have avoided pools most of my life due to harassment and I barely learned to swim although I love the water. I have never used single gender or shared shower/changing facilities post transition.  unless there are single stall showers and changing rooms, both with full curtains, that are expressly gender nonspecific (all sex/genders), then I would not be using the showers or changing facilities. That would greatly reduce the likelihood of me ever using the pool. On the other hand, if such facilities were available to me, and the pool itself was outdoors, I would envisage pretty frequent use.   I believe a pool is essential for our community. I would love a facility I felt comfortable using.  But I strongly believe we need one even if I were never to use it.    However I cannot support funding that uses a sales tax. This is a very regressive type of tax that puts too great a burden on people with less economic means. It takes a much higher percentage a poor person’s available funds than it does a richer person’s. It also tends to hit harder on  people who do not have the ability to go out of county to do their shopping. I believe it will also be keenly felt by anyone undertaking a major building project here.  The result will be an even greater tendency to purchase materials out of county, for example at big box building suppliers, and that will not be good for our local businesses.    I would also imagine that the sales tax would be applied to services purchased here? Would there be an added tax for dental work? For window washing and roof cleaning or repair? Again, I believe people will increasingly use out of county providers for services and this will not benefit the community.  Please find a less regressive funding mechanism.   I understand that one of the goals of the facility is for use by the public schools. And indeed the new proposed location is to be near a public school.  It seems to me that if the schools are to be using the facility then the school system should be expected to fund some part of it that is equivalent to the anticipated percent of use.  I used to live right next to a school that had a pool that was open to the public during certain hours. I used it once and then never used it. My experience was that the public hours were very short creating a massive competition for space and time. There were so many faster swimmers who were very impatient with beginners like myself.   in the afternoons the schedule was extremely crowded with school-related events, and open swimming ended up being late in the day. Too late and again too crowded.    I fear that having a pool be literally on site of a school will create these kinds of scheduling pressures. And if it is to be used much of the time or half of the time by the schools, then school funding should contribute to paying for it.  I will also weigh in to say that while I appreciate the challenges of building.a new pool on the site of the old pool, a facility in Chimacum will not provide the same level of access to the aging population inhabiting Port Townsend. My observation is that many elderly users currently walk to the pool, and a number of somewhat younger users bike to it.  t. Your survey does not ask about how people would get to the pool.  A number of us elderly folk in the area mask and rarely use public transport because other riders don’t mask. And a number of us are not really comfortable driving long distances.  Biking in this county outside of the city of PT is like handing your life over to a crazy game of a Russian roulette.  My point is that moving the pool out of the City of PT really changes/reduces access for an aging population that would greatly benefit from pool use and from the ability to walk or bike there.    I do not live in the City of PT but I would be way more likely to use a pool located there than in Chimacum: From my perspective it would be a lot better if the pool were located somewhere closer to halfway between.  However, I am under the impression that that ship has sailed And that the site has  pretty much been selected.  I don’t love it. I’ll use the pool less if at all. But I support the pool."
XPCiOI2l,Why should west Jefferson County have to pay?
ngf12Fae,It's a real shame that the idea of building a facility in Port Townsend wasn't fiercely defended by y'all.
GSkKo4JL,Add/modify bus routes to help those who visit and work there.
GvC4Ke4s,No
I7C49Jap,We can’t wait for this facility to be built and would happily join as members or use the pool 2-3 times per week per member of our household. We would love to have more amenities attached to it. Thank you for all the efforts to create this improved facility and space for our community.
LRCK6YuE,"As a parent of a teen and younger kid, I understand the need for additional recreational, childcare, and youth based activities. As a local medical provider I also understand the need for additional exercise and health based services. I highly support this effort and would use the services regularly."
3RCKNTpX,This would be an awesome addition to our community.
WskjkaCq,"I think this would be an incredible benefit to our community, even better that Port Townsend. Also, the timing is perfect because the Habitat for Humanity and Sewer projects are both going to change the landscape and demographics here in the next few years. I love the vision of a more vibrant hub for families here."
vXCiqPti,I would NOT send my daughter to a facility that I felt she wouldn't be safe at.
8dCYTcnz,"There's already an aquatic center is Port Townsend, a year ago Port Townsend tried to get a new pool out of Quilcene funds, that backfired. I'll give you credit for purposing this project in Port Hadlock, in the middle of the county, but with the economy isn't quite suitable for this project and the additional taxes that are to come with it."
jRfNqlw7,"Just fix the old pool. Only a fraction of Jefferson county residents would ever use the new pool, and even among those few who might want to use it, many won't be able to afford the entry fee. It's why I didn't use the old pool - entry fees for regular lap swimming are not affordable, and lap swim times were few and only offered at hours I couldn't go. Aquatic centers always cater most to kids and families, and rarely offer any programs or lap swims at days/times that are attractive to senior citizens. I for one oppose and  resent paying yet even higher taxes for a facility only a fraction of county residents will use. I already pay fees for a pool at Kala Point. I don't want to have to pay for another one. Instead of a new pool, why not fix all our potholes? Put more $ into senior services and affordable one-level senior housing, just to name a few ways the pool money would be much better spent."
uCCKEfi4,Would like to see it built closer to port townsend
dNDTOQTW,We can’t afford this.  We have many higher priorities
x6Cibctn,This would be a huge boost for our family.  We currently go to Port Angeles to swim a couple times a month and to Bainbridge for the rock climbing wall.  Thank you for your efforts and we hope to see this project come to fruition!
b2fKtPbl,"I've been driving to Sequim now twice a week for a number of years to swim. I've been hoping against hope to have a closer pool of similar size. I also do much of my shopping while there so unfortunately my money does not stay local (or at least local to Jefferson County). It's a shame that Sequim and Port Angeles are able to support a pool, and we seem unable to. I thought a decade ago it would happen. Perhaps now. Fingers crossed!"
xyfP6Pa3,"We are over due for a new facility. I encourage you to serve all ages with the design, from the inclusion of a splash pool, exercise pool, and lazy river. I think the Shore Pool is a terrific example. With a good facility that includes options for our full population, I believe attendance will be high.   While I am grateful for Mountain View pool, it has been challenging for me to provide positive aquatic experiences for my kiddo with its limited options and hours for kids. I am also an avid swimmer and spend most of my time open water swimming for the same reasons. A new facility could bring many more options!"
4mEBpDHk,Check out Lopez Island’s new pool. They have managed to break ground and start building in less time than we have been arguing about it.
cUC4sNLq,It's about time
ViEBJpCM,"Crucial that a new facility be built. Will the existing facility be fixed, repurposed or torn down?"
ObCKqxfZ,I think it is important to have amenities like this to attract young families to our community. It would be a partnership with the hospital to bring together people if all ages. Look at the overload of physical therapy needs that the hospital cannot accommodate.  I hope this becomes a reality for our community. Top notch state of the art. Could possibly be built in a way that could grow and expand over time to address costs. Would love a pool that was built in a way for open air when the weather is good in the summer.
qFfUU75M,A slot of time daily for Elder water programs. Elder group exercise.
EnCK85gB,Changing rooms and showers need to be SEX based for reasons of privacy and safeguarding. People who claim different identities can use the facilities that align with their SEX. This includes employees. No repeats of the Julie Jaman YMCA drama.
RQC4EUti,"I’d be super excited if there were a rock climbing area with tall walls (not just bouldering). I’d be excited about a cafe if it served local/organic/made from scratch healthy items. I’d love easy access to a hot tub/sauna. Would love low or no chlorine content. I’d support a tax for the facility regardless of my preferences as I know how important swimming is to many, and was also to me when I was young."
iiCYxUgc,"While I don’t see our current household using a splash park or indoor play area, so couldn’t check those boxes, when the children were young we would drive to Bainbridge or Sequim for their aquatic center. It’s a big need for children in this community."
3CCKpd8f,"Let's build and finish the new sewage system first, before we start other projects."
STC4vRb1,"I prefer Chimicum Park location.  Library area is longer/slower to get to. I don't believe this facility needs to be ""state of the art"" design.  A big pool that lets multiple things happen at one time would be very useful.  I hope this works."
EFC4uRCD,A public pool could help support special education/disabled students by offering therapeutic activities or inclusive swim team training.There are currently no adaptive PE classes offered at the Middle or High school now.
tfCiCOSI,Thank you!!
PYEBqiwx,I answered the questions about youth swim lessons because my grandkids live on Marrowstone and attend Chimacum Schools where I would hope swim lessons are integrated into the PE curriculum so all kids can swim by time they’re 7 or 8.
9UB6iapB,thankful they moved it out of Port Townsend to a more central location.  Good.
z5DTgRjO,We are already being taxed out of our homes. This is an unnecessary expenditure that will further burden our aging population.
k4CYWbbg,Please expedite this!  My kids are 11 and 12 and would benefit from a pool
