IP.address,Number_of_Responses,Unique_User_Agents,Unique_Cities,Unique_Ages,Unique_Mobile_Devices,Unique_PC_Devices,Avg_Time_Between_Entries_Min,Median_Time_Between_Entries_Min,Entries_Under_10min_Apart,Pool_Importance_Prop,TaxSupport_Prop,Pool_Importance_Prop_NonRepeat,TaxSupport_Prop_NonRepeat,Flag_Further_Investigation,Reviewer_Notes,Mean_Time_Taken_Seconds,Time_Taken_Range_Seconds,Mean_Time_Taken_Seconds_NonRepeat,Time_Taken_Range_Seconds_NonRepeat,Avg_Questions_Answered,Avg_Questions_Answered_NonRepeat,Prop_Duplicate_Responses,Unique_Response_Ratio,Hour_of_Day_STD,All_Mobile_User_Agents
24.113.125.227,9,7,4,4,7,0,7720.75,1451.0,2,"{'Very important': 0.556, 'Somewhat important': 0.333, 'No opinion/more information needed': 0.111}","{'Yes': 0.889, 'I am not a Jefferson County voter': 0.111}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,535.5555555555555,225-929,513.0216091954023,23-3481,51.44444444444444,45.900689655172414,0.0,1.0,1.0,True
104.28.116.129,9,5,6,4,3,2,5720.625,1625.0,0,"{'Very important': 0.667, 'Somewhat important': 0.222, 'Not important': 0.111}","{'Yes': 0.667, ""I don't know/need more information"": 0.222, 'No': 0.111}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,559.1111111111111,246-1563,513.0216091954023,23-3481,49.44444444444444,45.900689655172414,0.0,1.0,4.82,False
66.96.64.66,9,8,5,5,5,3,5911.5,5024.0,1,"{'Very important': 0.778, 'Somewhat important': 0.222}",{'Yes': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,551.8888888888889,211-1110,513.0216091954023,23-3481,50.44444444444444,45.900689655172414,0.0,1.0,2.71,False
104.28.116.135,9,4,4,5,3,1,5566.625,4616.5,0,"{'Very important': 0.667, 'Somewhat important': 0.222, 'Not important': 0.111}","{'Yes': 0.778, 'No': 0.111, ""I don't know/need more information"": 0.111}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,544.4444444444445,285-1244,513.0216091954023,23-3481,47.666666666666664,45.900689655172414,0.0,1.0,3.87,False
104.28.116.133,8,5,3,3,5,0,8420.285714285714,1768.0,1,"{'Very important': 0.857, 'Somewhat important': 0.143}","{'Yes': 0.571, ""I don't know/need more information"": 0.286, 'No': 0.143}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,725.625,18-1991,513.0216091954023,23-3481,46.375,45.900689655172414,0.0,1.0,3.16,True
146.75.136.223,8,7,3,4,5,2,2554.285714285714,1246.0,0,"{'Very important': 0.875, 'Not important': 0.125}","{'Yes': 0.75, 'I am not a Jefferson County voter': 0.125, 'No': 0.125}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,335.625,232-498,513.0216091954023,23-3481,45.875,45.900689655172414,0.0,1.0,3.98,False
169.204.230.226,6,5,3,3,3,2,14392.8,12775.0,0,"{'Very important': 0.667, 'Somewhat important': 0.333}",{'Yes': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,235.16666666666666,69-355,513.0216091954023,23-3481,46.833333333333336,45.900689655172414,0.0,1.0,3.31,False
216.122.13.116,6,5,1,2,4,1,15346.6,1736.0,1,"{'Not important': 0.8, 'Somewhat important': 0.2}",{'No': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,332.1666666666667,73-523,513.0216091954023,23-3481,30.833333333333332,45.900689655172414,0.0,1.0,3.02,False
209.166.69.54,5,5,1,3,4,1,13660.0,11586.0,0,"{'Somewhat important': 0.6, 'Very important': 0.4}","{'Yes': 0.6, ""I don't know/need more information"": 0.4}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,403.6,291-513,513.0216091954023,23-3481,49.6,45.900689655172414,0.0,1.0,3.44,False
24.113.153.101,4,4,2,2,2,2,14415.333333333334,17305.0,0,{'Not important': 1.0},{'No': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,837.0,334-1431,513.0216091954023,23-3481,53.25,45.900689655172414,0.0,1.0,0.96,False
24.113.155.28,4,4,1,2,2,2,12744.0,9043.0,0,{'Very important': 1.0},{'Yes': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,594.5,387-1110,513.0216091954023,23-3481,43.25,45.900689655172414,0.0,1.0,6.24,False
216.243.32.110,4,2,2,4,1,1,5.0,5.0,3,{'Not important': 1.0},{'No': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,304.75,158-544,513.0216091954023,23-3481,55.5,45.900689655172414,0.0,1.0,0.0,False
72.208.64.109,4,1,4,3,1,0,597.3333333333334,671.0,0,{'Not important': 1.0},{'No': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,357.0,174-669,513.0216091954023,23-3481,40.5,45.900689655172414,0.0,1.0,4.5,True
146.75.136.237,4,2,4,3,2,0,10026.0,11439.0,0,"{'Somewhat important': 0.5, 'Not important': 0.25, 'Very important': 0.25}","{'Yes': 0.5, ""I don't know/need more information"": 0.25, 'No': 0.25}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,422.5,289-685,513.0216091954023,23-3481,51.25,45.900689655172414,0.0,1.0,2.08,True
76.146.191.245,4,4,2,3,2,2,38.666666666666664,18.0,1,{'Very important': 1.0},{'Yes': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,233.25,95-306,513.0216091954023,23-3481,50.5,45.900689655172414,0.0,1.0,1.0,False
104.28.116.132,4,3,3,3,3,0,4871.0,1202.0,0,"{'Very important': 0.75, 'Not important': 0.25}","{'Yes': 0.5, ""I don't know/need more information"": 0.25, 'No': 0.25}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,537.0,293-977,513.0216091954023,23-3481,50.0,45.900689655172414,0.0,1.0,3.3,True
24.113.12.89,3,2,1,2,0,2,7962.5,7962.5,0,{'Somewhat important': 1.0},{'No': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,128.0,18-320,513.0216091954023,23-3481,21.0,45.900689655172414,0.0,1.0,1.0,False
24.113.162.201,3,3,1,1,3,0,33018.5,33018.5,0,{'Very important': 1.0},{'Yes': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,350.3333333333333,24-547,513.0216091954023,23-3481,48.666666666666664,45.900689655172414,0.0,1.0,6.24,True
24.113.12.80,3,3,1,1,3,0,30180.0,30180.0,0,{'Very important': 1.0},{'Yes': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,250.33333333333334,36-369,513.0216091954023,23-3481,38.333333333333336,45.900689655172414,0.0,1.0,3.06,True
64.184.145.144,3,2,1,2,2,0,19838.0,19838.0,1,"{'Very important': 0.333, 'Somewhat important': 0.333, 'Not important': 0.333}","{'No': 0.667, 'Yes': 0.333}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,299.3333333333333,278-317,513.0216091954023,23-3481,44.0,45.900689655172414,0.0,1.0,7.51,True
24.113.153.245,3,3,1,1,2,1,33653.0,33653.0,0,{'Very important': 1.0},{'Yes': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,382.3333333333333,47-790,513.0216091954023,23-3481,37.0,45.900689655172414,0.0,1.0,3.79,False
64.184.145.7,3,3,2,2,0,3,29623.0,29623.0,0,"{'Very important': 0.667, 'Somewhat important': 0.333}",{'Yes': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,357.0,239-506,513.0216091954023,23-3481,37.333333333333336,45.900689655172414,0.0,1.0,1.53,False
24.113.129.160,3,3,1,2,2,1,25279.0,25279.0,0,"{'Not important': 0.667, 'Somewhat important': 0.333}",{'No': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,485.0,337-743,513.0216091954023,23-3481,51.0,45.900689655172414,0.0,1.0,3.51,False
208.70.146.125,3,3,1,2,3,0,22912.0,22912.0,0,{'Not important': 1.0},{'No': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,312.0,269-351,513.0216091954023,23-3481,49.666666666666664,45.900689655172414,0.0,1.0,4.0,True
65.102.114.149,3,2,2,2,1,1,18912.0,18912.0,0,"{'No opinion/more information needed': 0.333, 'Somewhat important': 0.333, 'Not important': 0.333}","{'Yes': 0.5, 'No': 0.5}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,616.6666666666666,312-817,513.0216091954023,23-3481,42.0,45.900689655172414,0.0,1.0,3.06,False
216.122.8.92,3,2,1,1,2,0,20918.0,20918.0,0,{'Not important': 1.0},{'No': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,444.3333333333333,263-567,513.0216091954023,23-3481,52.0,45.900689655172414,0.0,1.0,1.53,True
174.201.249.108,3,1,3,3,1,0,3.0,3.0,2,{'Not important': 1.0},{'No': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,147.66666666666666,109-208,513.0216091954023,23-3481,25.333333333333332,45.900689655172414,0.0,1.0,0.0,True
24.113.155.143,3,2,1,2,2,0,8.5,8.5,1,{'Very important': 1.0},{'Yes': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,461.6666666666667,281-701,513.0216091954023,23-3481,47.333333333333336,45.900689655172414,0.0,1.0,0.0,True
24.113.172.239,3,2,1,2,1,1,932.0,932.0,0,{'Very important': 1.0},{'Yes': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,564.3333333333334,484-667,513.0216091954023,23-3481,54.333333333333336,45.900689655172414,0.0,1.0,3.79,False
24.113.160.13,3,3,2,2,1,2,15748.5,15748.5,0,"{'Very important': 0.667, 'Not important': 0.333}","{'Yes': 0.667, ""I don't know/need more information"": 0.333}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,664.3333333333334,478-818,513.0216091954023,23-3481,52.333333333333336,45.900689655172414,0.0,1.0,1.53,False
104.28.116.109,3,2,3,3,2,0,24343.0,24343.0,0,"{'Very important': 0.667, 'Somewhat important': 0.333}","{""I don't know/need more information"": 0.333, 'No': 0.333, 'Yes': 0.333}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,681.3333333333334,500-861,513.0216091954023,23-3481,54.0,45.900689655172414,0.0,1.0,3.06,True
104.28.116.29,3,3,3,2,2,1,31525.5,31525.5,0,"{'Somewhat important': 0.667, 'Very important': 0.333}","{'Yes': 0.667, 'No': 0.333}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,551.6666666666666,276-960,513.0216091954023,23-3481,49.333333333333336,45.900689655172414,0.0,1.0,5.51,False
104.28.116.88,3,3,3,2,3,0,13288.0,13288.0,0,"{'Somewhat important': 0.667, 'Very important': 0.333}","{'Yes': 0.667, 'No': 0.333}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,451.0,234-683,513.0216091954023,23-3481,49.666666666666664,45.900689655172414,0.0,1.0,6.81,True
24.113.162.75,3,2,2,2,0,2,28799.5,28799.5,0,"{'Not important': 0.667, 'Very important': 0.333}","{'No': 0.5, 'Yes': 0.5}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,853.0,110-1959,513.0216091954023,23-3481,39.333333333333336,45.900689655172414,0.0,1.0,5.2,False
24.113.172.241,3,3,1,1,1,2,1279.0,1279.0,0,"{'Not important': 0.667, 'Very important': 0.333}","{'Yes': 0.5, 'No': 0.5}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,283.0,173-394,513.0216091954023,23-3481,35.333333333333336,45.900689655172414,0.0,1.0,3.21,False
24.113.131.91,3,3,1,1,2,1,2315.0,2315.0,0,{'Very important': 1.0},{'Yes': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,419.3333333333333,197-748,513.0216091954023,23-3481,36.0,45.900689655172414,0.0,1.0,2.65,False
64.146.141.34,3,3,1,2,3,0,26683.5,26683.5,0,"{'Somewhat important': 0.333, 'Very important': 0.333, 'Not important': 0.333}","{'Yes': 0.667, 'No': 0.333}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,580.6666666666666,472-658,513.0216091954023,23-3481,51.0,45.900689655172414,0.0,1.0,1.0,True
24.113.171.251,3,3,1,1,1,2,2189.5,2189.5,1,{'Very important': 1.0},"{""I don't know/need more information"": 0.5, 'Yes': 0.5}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,810.3333333333334,450-1304,513.0216091954023,23-3481,33.666666666666664,45.900689655172414,0.0,1.0,0.58,False
24.113.144.253,3,3,3,2,2,1,7163.0,7163.0,0,"{'No opinion/more information needed': 0.333, 'Somewhat important': 0.333, 'Very important': 0.333}","{'Yes': 0.667, ""I don't know/need more information"": 0.333}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,746.3333333333334,189-1524,513.0216091954023,23-3481,49.333333333333336,45.900689655172414,0.0,1.0,1.15,False
104.28.116.107,3,3,3,3,3,0,31210.5,31210.5,0,"{'Very important': 0.333, 'Somewhat important': 0.333, 'Not important': 0.333}","{'Yes': 0.667, ""I don't know/need more information"": 0.333}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,382.3333333333333,234-486,513.0216091954023,23-3481,49.0,45.900689655172414,0.0,1.0,5.29,True
24.113.172.212,2,2,1,1,1,1,22033.0,22033.0,0,{'Very important': 1.0},"{'No': 0.5, 'Yes': 0.5}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,576.5,469-684,513.0216091954023,23-3481,53.5,45.900689655172414,0.0,1.0,4.95,False
24.113.172.21,2,2,1,2,0,2,959.0,959.0,0,"{'Very important': 0.5, 'Somewhat important': 0.5}",{'No': 1.0},"{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,307.5,160-455,513.0216091954023,23-3481,24.5,45.900689655172414,0.0,1.0,5.66,False
