"","Response.ID","IP.address","User.agent","Response.status","Survey.URL","Start.time","Completion.time","Time.taken","Collector","JeffCo.resident","City.area","Age","Under7","Age7_12","Age13_18","Age19_34","Age35_54","Age55-64","Age65_74","Age75_older","RateNewPoolImportance","Under7_Non.swimmer","Under7_Beginner","Under7_Intermediate","Under7_Advanced","Age7_12_Non.swimmer","Age7_12_Beginner","Age7_12_Intermediate","Age7_12_Advanced","Age13_18_Non.swimmer","Age13_18_Beginner","Age13_18_Intermediate","Age13_18_Advanced","Age19_34_Non.swimmer","Age19_34_Beginner","Age19_34_Intermediate","Age19_34_Advanced","Age35_54_Non.swimmer","Age35_54_Beginner","Age35_54_Intermediate","Age35_54_Advanced","Age55-64_Non.swimmer","Age55-64_Beginner","Age55-64_Intermediate","Age55-64_Advanced","Age65_74_Non.swimmer","Age65_74_Beginner","Age65_74_Intermediate","Age65_74_Advanced","Age75_older_Non.swimmer","Age75_older_Beginner","Age75_older_Intermediate","Age75_older_Advanced","UsedAquaticsPast2Years","WhichAquaticFacilities","FacilityUsageRate","AquaAmenities_LapSwimming","AquaAmenities_OpenSwim","AquaAmenities_YouthLessons","AquaAmenities_AdultLessons","AquaAmenities_CompetitiveSwim","AquaAmenities_LifeguardTrain","AquaAmenities_Aerobics","AquaAmenities_SyncroSwim","AquaAmenities_SportsLeagues","AquaAmenities_SafetyTrain","AquaAmenities_Therapeutic","AquaAmenities_PartyRental","AquaAmenities_ParentChild","AquaAmenities_Sauna","AquaAmenities_HotTub","AquaAmenities_PublicShower","AquaAmenities_OutdoorPool","AquaAmenities_SplashPark","AquaAmenities_UsageRate","RecAmenities_AfterschoolCamps","RecAmenities_Preschool","RecAmenities_Childcare","RecAmenities_Playgroups","RecAmenities_FitnessClass","RecAmenities_PhysTherapy","RecAmenities_EventSpace","RecAmenities_WellnessClass","RecAmenities_Kitchen","RecAmenities_Cafe","RecAmenities_Gym","RecAmenities_OutPickleball","RecAmenities_InPickleball","RecAmenities_RockClimb","RecAmenities_TeenFit","RecAmenities_TeenCenter","RecAmenities_UsageRate","TaxSupport","Comments"
"290","8dCYTcnz","172.56.51.247","Mozilla/5.0 (Linux; Android 11; BL6000Pro Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/132.0.6834.156 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/498.0.0.54.74;IABMV/1;]","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawIMH1tleHRuA2FlbQIxMQABHdhZ4F7bunXukHTSkgy7o9mQ7OShW0jqJNr2m3_ALrdEsUsfk2-ZY8jexQ_aem_blmQUunVngwhpccJSIiIkw&lang=en","2/2/2025 1:51","2/2/2025 2:12","21 mins 26 secs ","Pool Support and Amenities","Yes, I live here full-time","Coyle","18-34","7","1","2","1","2","1","","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I don't know","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No","There's already an aquatic center is Port Townsend, a year ago Port Townsend tried to get a new pool out of Quilcene funds, that backfired. I'll give you credit for purposing this project in Port Hadlock, in the middle of the county, but with the economy isn't quite suitable for this project and the additional taxes that are to come with it."
"291","jRfNqlw7","97.126.125.83","Mozilla/5.0 (Linux; Android 14; SM-A146U Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/132.0.6834.156 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/498.0.0.54.74;IABMV/1;]","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 4:14","2/2/2025 4:40","25 mins 49 secs ","Pool Support and Amenities","Yes, I live here full-time","Kala Point","65-74","","","","","","","1","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Yes","Private/HOA pool (e.g. Port Ludlow, Cape George, Kala Point)","Less than once a month","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No","Just fix the old pool. Only a fraction of Jefferson county residents would ever use the new pool, and even among those few who might want to use it, many won't be able to afford the entry fee. It's why I didn't use the old pool - entry fees for regular lap swimming are not affordable, and lap swim times were few and only offered at hours I couldn't go. Aquatic centers always cater most to kids and families, and rarely offer any programs or lap swims at days/times that are attractive to senior citizens. I for one oppose and  resent paying yet even higher taxes for a facility only a fraction of county residents will use. I already pay fees for a pool at Kala Point. I don't want to have to pay for another one. Instead of a new pool, why not fix all our potholes? Put more $ into senior services and affordable one-level senior housing, just to name a few ways the pool money would be much better spent."
"292","uCCKEfi4","104.28.116.107","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 4:38","2/2/2025 4:46","8 mins 6 secs ","Pool Support and Amenities","Yes, I live here part-time","Port Townsend (within city limits)","55-64","","","","","","2","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Not likely","Very likely","Very likely","Not likely","Not likely","Not likely","Very likely","Very likely","Not likely","Somewhat likely","Very likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Very likely","Several times a month","Not likely","Very likely","Not likely","Not likely","Very likely","Very likely","Not likely","Very likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Several times a month","I don't know/need more information","Would like to see it built closer to port townsend"
"293","qrCKsEfc","97.113.171.155","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 4:42","2/2/2025 4:57","14 mins 56 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - Near Beckett point off Cape George Rd","65-74","","","","","","","1","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","I don't know/need more information",""
"294","dNDTOQTW","24.113.175.50","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22B91 [FBAN/FBIOS;FBAV/498.0.0.35.105;FBBV/691089697;FBDV/iPhone12,1;FBMD/iPhone;FBSN/iOS;FBSV/18.1.1;FBSS/2;FBID/phone;FBLC/en_US;FBOP","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwZXh0bgNhZW0CMTEAAR1Q5nhsqwzICRQEIyaYIc5ueRYCqHyvf5m3W9T494JUfhuplKWIhb0ovQo_aem_x5BVdACZTX-Mk8QkzS3ISg&lang=en","2/2/2025 5:47","2/2/2025 5:53","5 mins 52 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","1","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No","We can’t afford this.  We have many higher priorities"
"295","x6Cibctn","24.113.147.70","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 6:03","2/2/2025 6:10","6 mins 56 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","35-54","","1","2","","2","","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Angeles SHORE Aquatic Center,Port Townsend Y/Mountain View Pool","Several times a month","Not likely","Very likely","Very likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Very likely","Very likely","Very likely","Not likely","Very likely","Very likely","Not likely","Very likely","Very likely","Several times a month","Very likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Very likely","Very likely","Very likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Very likely","More than once a week","Yes","This would be a huge boost for our family.  We currently go to Port Angeles to swim a couple times a month and to Bainbridge for the rock climbing wall.  Thank you for your efforts and we hope to see this project come to fruition!"
"296","b2fKtPbl","71.212.166.46","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 6:16","2/2/2025 6:30","14 mins 34 secs ","Pool Support and Amenities","Yes, I live here full-time","Marrowstone","65-74","","","","","","","1","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Yes","Port Angeles SHORE Aquatic Center,Sequim Y,Silverdale Y","More than once a week","Very likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Very likely","Very likely","Not likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Less than once a month","Yes","I've been driving to Sequim now twice a week for a number of years to swim. I've been hoping against hope to have a closer pool of similar size. I also do much of my shopping while there so unfortunately my money does not stay local (or at least local to Jefferson County). It's a shame that Sequim and Port Angeles are able to support a pool, and we seem unable to. I thought a decade ago it would happen. Perhaps now. Fingers crossed!"
"297","xyfP6Pa3","24.113.175.178","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 6:23","2/2/2025 6:33","9 mins 11 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","35-54","","1","","","2","","","","Very important",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Angeles SHORE Aquatic Center,Sequim Y,Port Townsend Y/Mountain View Pool,Bainbridge Island","Several times a month","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Not likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","More than once a week","Very likely","","","Very likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Very likely","Several times a month","Yes","We are over due for a new facility. I encourage you to serve all ages with the design, from the inclusion of a splash pool, exercise pool, and lazy river. I think the Shore Pool is a terrific example. With a good facility that includes options for our full population, I believe attendance will be high.   While I am grateful for Mountain View pool, it has been challenging for me to provide positive aquatic experiences for my kiddo with its limited options and hours for kids. I am also an avid swimmer and spend most of my time open water swimming for the same reasons. A new facility could bring many more options!"
"298","4mEBpDHk","24.113.151.108","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 6:26","2/2/2025 6:31","5 mins 25 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","2","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Yes","Sequim Y","Don't use an aquatic facility","Not likely","Not likely","","","","","Very likely","","Not likely","Not likely","Very likely","Not likely","Not likely","Very likely","Very likely","Very likely","Somewhat likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Very likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Several times a month","Yes","Check out Lopez Island’s new pool. They have managed to break ground and start building in less time than we have been arguing about it."
"299","cUC4sNLq","66.133.58.193","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/132.0.6834.100 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 6:26","2/2/2025 6:32","5 mins 31 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","18-34","1","0","0","2","0","0","0","0","Very important",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Townsend Y/Mountain View Pool,Private/HOA pool (e.g. Port Ludlow, Cape George, Kala Point)","Several times a month","Not likely","Very likely","Not likely","Not likely","Very likely","Not likely","Very likely","Not likely","Very likely","Not likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","More than once a week","Very likely","Very likely","Very likely","Very likely","Very likely","Not likely","Very likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Very likely","Several times a month","Yes","It's about time"
"300","ViEBJpCM","174.231.117.242","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 6:27","2/2/2025 6:35","8 mins 8 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","65-74","0","0","0","1","0","0","2","0","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Yes","Sequim Y,Port Townsend Y/Mountain View Pool,Private/HOA pool (e.g. Port Ludlow, Cape George, Kala Point)","More than once a week","Very likely","Very likely","Not likely","Very likely","Somewhat likely","Not likely","Very likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Not likely","Not likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Very likely","Very likely","Not likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Very likely","Not likely","Not likely","More than once a week","Yes","Crucial that a new facility be built. Will the existing facility be fixed, repurposed or torn down?"
"301","ObCKqxfZ","24.113.148.11","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21G93 [FBAN/FBIOS;FBAV/498.0.0.35.105;FBBV/691089697;FBDV/iPhone12,1;FBMD/iPhone;FBSN/iOS;FBSV/17.6.1;FBSS/2;FBID/phone;FBLC/en_US;FBOP","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 6:58","2/2/2025 7:13","14 mins 45 secs ","Pool Support and Amenities","Yes, I live here full-time","Kala Point","65-74","","","","","","","1","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Very likely","Very likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Not likely","Somewhat likely","Somewhat likely","Very likely","Not likely","Not likely","Very likely","Very likely","Very likely","Very likely","Very likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Very likely","Very likely","Very likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Not likely","Not likely","More than once a week","Yes","I think it is important to have amenities like this to attract young families to our community. It would be a partnership with the hospital to bring together people if all ages. Look at the overload of physical therapy needs that the hospital cannot accommodate.  I hope this becomes a reality for our community. Top notch state of the art. Could possibly be built in a way that could grow and expand over time to address costs. Would love a pool that was built in a way for open air when the weather is good in the summer."
"302","6tEBekan","24.113.168.50","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 7:03","2/2/2025 7:09","6 mins 16 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","2","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Yes","Port Townsend Y/Mountain View Pool","Less than once a month","Very likely","Very likely","","","","","Very likely","Somewhat likely","","","Very likely","","","Somewhat likely","Very likely","Somewhat likely","Very likely","Very likely","More than once a week","","","","","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","","","","Several times a month","Yes",""
"303","mcC4ddV5","24.113.155.189","Mozilla/5.0 (Linux; Android 13; SM-G781U Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/132.0.6834.122 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/498.1.0.64.74;IABMV/1;]","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawIMa6FleHRuA2FlbQIxMQABHWRGVJtK7C5ryEsdzchOsGEg1tHw4zDgl6-shcsDkxdR0fXh-hQ-a0pRfQ_aem_vzDJjYtyYrZ1YMIXoHyMDg&lang=en","2/2/2025 7:16","2/2/2025 7:31","15 mins 3 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","35-54","0","0","2","0","2","0","0","0","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Bainbridge Island,Other (Please specify) - Others farther away","Several times a month","","Very likely","","Very likely","Somewhat likely","Very likely","Somewhat likely","","","Very likely","Somewhat likely","","","","Very likely","Somewhat likely","Very likely","","Several times a month","Somewhat likely","","","","Somewhat likely","","","","","","Somewhat likely","Somewhat likely","","Very likely","Very likely","Very likely","More than once a week","Yes",""
"304","qFfUU75M","98.97.44.10","Mozilla/5.0 (iPad; CPU OS 16_7_10 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20H350 [FBAN/FBIOS;FBAV/498.0.0.35.105;FBBV/691089697;FBDV/iPad6,4;FBMD/iPad;FBSN/iPadOS;FBSV/16.7.10;FBSS/2;FBID/tablet;FBLC/en_US;FBOP/5;FBRV","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwZXh0bgNhZW0CMTEAAR2rtpOpdRejfUYHA7eT7aYB8yqMTg_ctl5wFZ0q-g6mQZt-4j1ZnFw1EOk_aem_Q6thpKblPyj5sdbcVgpPEw&lang=en","2/2/2025 7:19","2/2/2025 7:25","6 mins 27 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","55-64","","","","","","","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Out of state","Don't use an aquatic facility","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Not likely","Very likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes","A slot of time daily for Elder water programs. Elder group exercise."
"305","EnCK85gB","24.113.150.80","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBAV/484.0.0.42.109;FBBV/662558124;FBDV/iPhone14,3;FBMD/iPhone;FBSN/iOS;FBSV/18.1.1;FBSS/3;FBCR/;FBID/phone;FBLC/en_","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 7:29","2/2/2025 7:39","10 mins 16 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","35-54","0","0","0","0","1","1","0","0","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Private/HOA pool (e.g. Port Ludlow, Cape George, Kala Point)","Less than once a month","Somewhat likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Not likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Several times a month","Yes","Changing rooms and showers need to be SEX based for reasons of privacy and safeguarding. People who claim different identities can use the facilities that align with their SEX. This includes employees. No repeats of the Julie Jaman YMCA drama."
"306","FjB6Kyye","168.103.155.78","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22B91 [FBAN/FBIOS;FBAV/498.0.0.35.105;FBBV/691089697;FBDV/iPhone12,1;FBMD/iPhone;FBSN/iOS;FBSV/18.1.1;FBSS/2;FBID/phone;FBLC/en_US;FBOP","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwZXh0bgNhZW0CMTEAAR1sViqSyG3LuMhBftfavwyDMeHNL_THbY1LF5dBbqRD7ShqN5NtOEUujwU_aem_4kSlckH5lNm_B5qtsWPMBw&lang=en","2/2/2025 7:35","2/2/2025 7:46","10 mins 32 secs ","Pool Support and Amenities","Yes, I live here full-time","Quilcene","65-74","0","0","0","1","0","0","1","0","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No",""
"307","RQC4EUti","174.204.66.130","Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20C65 [FBAN/FBIOS;FBAV/496.0.0.23.103;FBBV/684558567;FBDV/iPhone14,4;FBMD/iPhone;FBSN/iOS;FBSV/16.2;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;F","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwZXh0bgNhZW0CMTEAAR00Y8ykDbvl8Tf317p1TGNgmHZhUZ4e1tIQuB-Ywnf_403aj0M3qFLAYEw_aem_0pJWQe6NxOZ3nLKvjbQohQ&lang=en","2/2/2025 7:36","2/2/2025 7:44","7 mins 41 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - Eaglemount","35-54","0","0","0","0","2","0","0","0","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Several times a month","Yes","I’d be super excited if there were a rock climbing area with tall walls (not just bouldering). I’d be excited about a cafe if it served local/organic/made from scratch healthy items. I’d love easy access to a hot tub/sauna. Would love low or no chlorine content. I’d support a tax for the facility regardless of my preferences as I know how important swimming is to many, and was also to me when I was young."
