"","Response.ID","IP.address","User.agent","Response.status","Survey.URL","Start.time","Completion.time","Time.taken","Collector","JeffCo.resident","City.area","Age","Under7","7_12","13_18","19_34","35_54","55-64","65_74","75_older","RateNewPoolImportance","Under7_Non.swimmer","Under7_Beginner","Under7_Intermediate","Under7_Advanced","7_12_Non.swimmer","7_12_Beginner","7_12_Intermediate","7_12_Advanced","13_18_Non.swimmer","13_18_Beginner","13_18_Intermediate","13_18_Advanced","19_34_Non.swimmer","19_34_Beginner","19_34_Intermediate","19_34_Advanced","35_54_Non.swimmer","35_54_Beginner","35_54_Intermediate","35_54_Advanced","55-64_Non.swimmer","55-64_Beginner","55-64_Intermediate","55-64_Advanced","65_74_Non.swimmer","65_74_Beginner","65_74_Intermediate","65_74_Advanced","75_older_Non.swimmer","75_older_Beginner","75_older_Intermediate","75_older_Advanced","UsedAquaticsPast2Years","WhichAquaticFacilities","FacilityUsageRate","AquaAmenities_LapSwimming","AquaAmenities_OpenSwim","AquaAmenities_YouthLessons","AquaAmenities_AdultLessons","AquaAmenities_CompetitiveSwim","AquaAmenities_LifeguardTrain","AquaAmenities_Aerobics","AquaAmenities_SyncroSwim","AquaAmenities_SportsLeagues","AquaAmenities_SafetyTrain","AquaAmenities_Therapeutic","AquaAmenities_PartyRental","AquaAmenities_ParentChild","AquaAmenities_Sauna","AquaAmenities_HotTub","AquaAmenities_PublicShower","AquaAmenities_OutdoorPool","AquaAmenities_SplashPark","AquaAmenities_UsageRate","RecAmenities_AfterschoolCamps","RecAmenities_Preschool","RecAmenities_Childcare","RecAmenities_Playgroups","RecAmenities_FitnessClass","RecAmenities_PhysTherapy","RecAmenities_EventSpace","RecAmenities_WellnessClass","RecAmenities_Kitchen","RecAmenities_Cafe","RecAmenities_Gym","RecAmenities_OutPickleball","RecAmenities_InPickleball","RecAmenities_RockClimb","RecAmenities_TeenFit","RecAmenities_TeenCenter","RecAmenities_UsageRate","TaxSupport","Comments"
"440","toEBagCU","24.113.172.241","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:134.0) Gecko/20100101 Firefox/134.0","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 13:52","2/2/2025 13:57","4 mins 42 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","75+","","","","","","","","2","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Yes","Other (Please specify) - Hotel pool","Less than once a month","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Several times a month","Yes",""
"446","zUCiFwwx","104.28.116.134","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 14:04","2/2/2025 14:09","4 mins 54 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","55-64","0","0","0","1","0","1","1","3","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Hotels","Less than once a month","Very likely","Very likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Very likely","Somewhat likely","Not likely","Very likely","Very likely","Very likely","Not likely","Somewhat likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","I don't know/need more information",""
"458","PxCYmzAP","24.113.130.33","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 14:48","2/2/2025 14:55","6 mins 22 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","1","1","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - out of state facilities on vacation","Less than once a month","Very likely","Very likely","","","","","Very likely","","","","","","","Very likely","","","","","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Less than once a month","Yes","I understand why the county wants the site in Port Hadlock.  However, I live in Port Townsend, which is the biggest population center in the county, and it would not be convenient for me to make it to Port Hadlock frequently.  Port Townsend really needs its own adequate pool."
"461","WUEBfCBe","24.113.163.39","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 15:00","2/2/2025 15:08","7 mins 51 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","65-74","2","","","","","","","","Very important",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Pools and hot tubs in Iceland","Less than once a month","Somewhat likely","","","","","","","","","","","","","","Somewhat likely","","","","Less than once a month","","","","","","Somewhat likely","","Somewhat likely","","Somewhat likely","","","","","","","Less than once a month","Yes",""
"468","y8CKAGov","65.102.118.103","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 15:25","2/2/2025 15:32","7 mins 51 secs ","Pool Support and Amenities","Yes, I live here full-time","Quilcene","75+","","","","","","","","1","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Yes","Other (Please specify) - PERSONAL POOL","Less than once a month","Very likely","Very likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Very likely","Very likely","Not likely","Not likely","Very likely","Very likely","Very likely","Very likely","Very likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Very likely","Very likely","Not likely","Very likely","Very likely","Very likely","Very likely","Not likely","Not likely","Not likely","Several times a month","Yes","I'm very excited at the prospect of a new aquatic center.  Traveling from my home to PT takes 30-35 minutes which is not a great incentive to go to a pool with erratic hours."
"498","HXk7o9qK","24.113.170.136","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 16:25","2/2/2025 16:34","8 mins 19 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","2","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Longbeach","Don't use an aquatic facility","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Not likely","Not likely","Somewhat likely","Very likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes",""
"548","xxCi9JPE","104.28.123.182","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 18:52","2/2/2025 18:58","6 mins 20 secs ","Pool Support and Amenities","Yes, I live here part-time","Port Townsend (within city limits)","65-74","","","","","","","1","1","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"Yes","Other (Please specify)","More than once a week","Very likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","","Yes",""
"573","lXCKjftP","24.113.174.167","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawIMm7JleHRuA2FlbQIxMQABHfkC0kDp__Olh_PMLXX6jh841K-m5po0_cBy1fNAkxrGeygIWEUP2reYyw_aem_kX_wHKZCOlzYhQMra7gu2g&lang=en","2/2/2025 20:08","2/2/2025 20:14","5 mins 58 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","18-34","0","0","0","1","0","0","0","0","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Out of town vacation","Less than once a month","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Less than once a month","Yes",""
"601","96DTKAZ9","71.212.108.203","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22B91 [FBAN/FBIOS;FBAV/498.0.0.35.105;FBBV/691089697;FBDV/iPhone14,5;FBMD/iPhone;FBSN/iOS;FBSV/18.1.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP","PARTIAL","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwZXh0bgNhZW0CMTEAAR2q3Idl2nU3h-V_FMz0MsGAJpuhJkYEqJ2NwEb0KptZCjJpYZxevEvsG1s_aem_Fm3dg5i1BWe5svdm3eqggw&lang=en","2/3/2025 2:45","2/3/2025 2:51","6 mins 8 secs ","Pool Support and Amenities","Yes, I live here part-time","Coyle","35-54","","1","1","","2","","","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Hood Canal","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","I don't know/need more information",""
"609","L1CYAV9b","98.97.32.27","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/3/2025 6:25","2/3/2025 6:30","5 mins 8 secs ","Pool Support and Amenities","Yes, I live here full-time","Quilcene","35-54","","","1","","2","","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - out of town","Don't use an aquatic facility","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Not likely","Not likely","Somewhat likely","Very likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Very likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Not likely","Very likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","More than once a week","Yes",""
"620","PNk3MJZE","15.181.1.224","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22D63 [FBAN/FBIOS;FBAV/498.0.0.35.105;FBBV/691089697;FBDV/iPhone11,8;FBMD/iPhone;FBSN/iOS;FBSV/18.3;FBSS/2;FBID/phone;FBLC/en_US;FBOP/5;F","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwZXh0bgNhZW0CMTEAAR0o06tVxBGKLqg24MYtAndzC6r-el0Mhqgh89xZG6w6UzHvuBmQv36_AyM_aem_Q3WhL-K5_1j2ijHcd9yvuQ&lang=en","2/3/2025 7:13","2/3/2025 7:21","8 mins 20 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","55-64","","","","","","1","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Evergreen Aquatic Center in Burien, WA","More than once a week","Somewhat likely","","","","","","Very likely","","","","Very likely","","","Very likely","Very likely","Very likely","","","More than once a week","","","","","Somewhat likely","Somewhat likely","","Somewhat likely","","","","Somewhat likely","Somewhat likely","","","","Several times a month","I don't know/need more information","It’s a very positive effort that benefits everyone. My only concern is keeping it affordable for lower-income folks, including any taxes that may be necessary. Also, curious about public transportation options. Thank you!!"
"666","mACiNoso","75.172.60.115","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/3/2025 9:35","2/3/2025 9:40","5 mins 9 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","55-64","","","","","","2","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - While on a work trip","Less than once a month","Very likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Very likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Several times a month","Yes","It needs to support as many people as possible. My answers are for my demographic.  I'd love to be able to swim for fitness!!"
"690","UFCYmCct","24.113.130.219","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.1  Mobile/15E148 Safari/605.1.15","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/3/2025 10:33","2/3/2025 10:36","3 mins 35 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Hadlock-Irondale","35-54","2","","","","2","","","","Very important",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Seattle","Less than once a month","Not likely","Very likely","Very likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Somewhat likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Several times a month","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Somewhat likely","Very likely","Very likely","Very likely","Very likely","Very likely","Not likely","Not likely","Very likely","Very likely","Very likely","More than once a week","Yes","This would be an amazing resource!!!"
"693","HqC4wVLN","24.113.160.20","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/3/2025 10:46","2/3/2025 10:50","4 mins 4 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","55-64","","","","","","1","2","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,"Yes","Other (Please specify) - Alaska","More than once a week","Very likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Several times a month","Yes",""
"703","uIDTjvpX","107.77.205.189","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_10 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20H350 [FBAN/FBIOS;FBAV/498.0.0.35.105;FBBV/691089697;FBDV/iPhone10,3;FBMD/iPhone;FBSN/iOS;FBSV/16.7.10;FBSS/3;FBID/phone;FBLC/en_US;F","PARTIAL","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawINsY9leHRuA2FlbQIxMAABHQf5u3FQK8XE7trw0GyEnV2i2H6NbtTYdchHnldD5pTFk5jxlbOK_tRAYA_aem_wisNX6HUzLwnky1QoflS9A&lang=en","2/3/2025 11:17","2/3/2025 11:20","2 mins 16 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Hadlock-Irondale","35-54","","","","","2","","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - mcminnamans","Less than once a month","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"715","P9CKL4LG","216.122.10.172","Mozilla/5.0 (Linux; Android 14; SM-A146U Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/132.0.6834.156 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/498.1.0.64.74;IABMV/1;]","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawIOArZleHRuA2FlbQIxMQABHSlGtdlsu0mpTWCh1XA7Di4zmnUirOrP6npuFzZRY61qsgZpIoaGWHc-nA_aem_1ue_bR7HYz3VbL2EL4Ut-w&lang=en","2/3/2025 12:13","2/3/2025 12:18","4 mins 57 secs ","Pool Support and Amenities","Yes, I live here full-time","Brinnon","55-64","","","","","","2","","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - McMinnemins Bothell","Less than once a month","Not likely","Very likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Not likely","Very likely","Very likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Less than once a month","No",""
"721","EYEBPgMh","98.97.34.120","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawIOCJ5leHRuA2FlbQIxMQABHck2Aj0Q4z9ky2Wr_MNuU-CKC8OkfSK-EobbNDkZErc-pzaZCKTz4jK4_A_aem_9CnhI74iWFObPbSJZL8T0A&lang=en","2/3/2025 12:38","2/3/2025 12:48","9 mins 35 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","35-54","","","","1","1","","","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - out of state","Don't use an aquatic facility","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Very likely","Very likely","Not likely","Not likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","More than once a week","No","Allow independent, private developers to bid on and build aquatic centers, housing developments, stores, restaurants, hotels, golf courses, everything. The development restrictions in Jefferson County are absurd and will lead to long lasting inequality and infrastructural decay. This pool is never going to happen unless it is built by a private developer. I can also say that there is absolutely no way I will vote for this to be tax payer funded at any level. I would however rejoice in private development of any kind in Jeffco."
"729","0UCKskND","24.113.169.107","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/351.0.713349843 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/3/2025 13:02","2/3/2025 13:10","7 mins 47 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","55-64","0","0","0","0","0","2","0","0","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Kailua-Kona, HI","Less than once a month","Very likely","Very likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Very likely","Very likely","Very likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Not likely","Not likely","Not likely","More than once a week","Yes","I think it’s a great idea to have it located in the county rather than in PT city limits.  I would definitely take water aerobics & swim laps. Thank you."
"751","2aCYZkc9","96.81.143.161","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe??lang=en","2/3/2025 14:16","2/3/2025 14:20","3 mins 55 secs ","Pool Support and Amenities","Yes, I live here part-time","Chimacum","65-74","","","","","1","","1","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - seattle various","Less than once a month","Very likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Not likely","Not likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes",""
"858","a6C4n3vg","209.166.69.49","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.8.1 Safari/605.1.15","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/4/2025 7:34","2/4/2025 7:40","5 mins 15 secs ","Pool Support and Amenities","Yes, I live here full-time","Marrowstone","65-74","","","","","","","2","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Seattle","Don't use an aquatic facility","","Very likely","","","","","Very likely","","","","Very likely","","","Very likely","Very likely","Very likely","","","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes",""
"908","pLB6Omp1","193.37.33.46","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/4/2025 9:42","2/4/2025 9:51","9 mins 3 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Ludlow","65-74","","","","","","","2","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Out of State","Less than once a month","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes","I think it is important to offer these kinds of amenities to the community as a whole.  If we want families to live here, we need to provide appealing facilities."
